0:00:12.859179: Frequency: 2.5223372357846707e-44, Amplitude: 1.2611686178923354e-44, Offset: 90.01419830322266, Phase Shift: 7.169477100887889e-08, Phase: 9484.296875
0:00:12.984184: Frequency: 2.5223372357846707e-44, Amplitude: 1.2611686178923354e-44, Offset: 90.01334381103516, Phase Shift: 6.329631929702373e-08, Phase: 9484.296875
0:00:13.077932: Frequency: 2.5223372357846707e-44, Amplitude: 1.2611686178923354e-44, Offset: 90.01274871826172, Phase Shift: 5.7727255864392646e-08, Phase: 9484.296875
0:00:13.156093: Frequency: 2.5223372357846707e-44, Amplitude: 1.2611686178923354e-44, Offset: 90.01219177246094, Phase Shift: 5.270348069075226e-08, Phase: 9484.296875
0:00:13.249809: Frequency: 2.5223372357846707e-44, Amplitude: 1.2611686178923354e-44, Offset: 90.01164245605469, Phase Shift: 4.801655961728102e-08, Phase: 9484.296875
0:00:13.343559: Frequency: 2.5223372357846707e-44, Amplitude: 1.2611686178923354e-44, Offset: 90.01112365722656, Phase Shift: 4.3791871462417475e-08, Phase: 9484.296875
0:00:13.437514: Frequency: 2.5223372357846707e-44, Amplitude: 1.2611686178923354e-44, Offset: 90.0106430053711, Phase Shift: 4.002226816623988e-08, Phase: 9484.296875
0:00:13.515409: Frequency: 2.5223372357846707e-44, Amplitude: 1.2611686178923354e-44, Offset: 90.01017761230469, Phase Shift: 3.657763159026217e-08, Phase: 9484.296875
0:00:13.609183: Frequency: 2.5223372357846707e-44, Amplitude: 1.2611686178923354e-44, Offset: 90.00970458984375, Phase Shift: 3.3254771381052706e-08, Phase: 9484.296875
0:00:13.702934: Frequency: 2.5223372357846707e-44, Amplitude: 1.2611686178923354e-44, Offset: 90.00926208496094, Phase Shift: 3.023330918949796e-08, Phase: 9484.296875
0:00:13.796683: Frequency: 2.5223372357846707e-44, Amplitude: 1.2611686178923354e-44, Offset: 90.00885009765625, Phase Shift: 2.7573262784130748e-08, Phase: 9484.296875
0:00:13.890576: Frequency: 2.5223372357846707e-44, Amplitude: 1.2611686178923354e-44, Offset: 90.00845336914062, Phase Shift: 2.5146816184928866e-08, Phase: 9484.296875
0:00:13.999779: Frequency: 2.5223372357846707e-44, Amplitude: 1.2611686178923354e-44, Offset: 90.0079574584961, Phase Shift: 2.2247546027642784e-08, Phase: 9484.296875
0:00:14.093559: Frequency: 2.5223372357846707e-44, Amplitude: 1.2611686178923354e-44, Offset: 90.00759887695312, Phase Shift: 2.028996171077324e-08, Phase: 9484.296875
0:00:14.187308: Frequency: 2.5223372357846707e-44, Amplitude: 1.2611686178923354e-44, Offset: 90.00725555419922, Phase Shift: 1.8446741023581126e-08, Phase: 9484.296875
0:00:14.281229: Frequency: 2.5223372357846707e-44, Amplitude: 1.2611686178923354e-44, Offset: 90.0069351196289, Phase Shift: 1.6841136485368224e-08, Phase: 9484.296875
0:00:14.359206: Frequency: 2.5223372357846707e-44, Amplitude: 1.2611686178923354e-44, Offset: 90.00662994384766, Phase Shift: 1.5375420048258093e-08, Phase: 9484.296875
0:00:14.452932: Frequency: 2.5223372357846707e-44, Amplitude: 1.2611686178923354e-44, Offset: 90.00633239746094, Phase Shift: 1.4007899729051587e-08, Phase: 9484.296875
0:00:14.546830: Frequency: 2.5223372357846707e-44, Amplitude: 1.2611686178923354e-44, Offset: 90.00605773925781, Phase Shift: 1.2815687178147073e-08, Phase: 9484.296875
0:00:14.671680: Frequency: 2.5223372357846707e-44, Amplitude: 1.2611686178923354e-44, Offset: 90.00566864013672, Phase Shift: 1.119732129239992e-08, Phase: 9484.296875
0:00:14.765498: Frequency: 2.5223372357846707e-44, Amplitude: 1.2611686178923354e-44, Offset: 90.00541687011719, Phase Shift: 1.0212191980940588e-08, Phase: 9484.296875
