0:00:15.275600: Frequency: 0.0, Amplitude: 4.344025239406933e-44, Offset: 89.99952697753906, Phase Shift: 4.344025239406933e-44, Phase: 10312.5791015625
0:00:15.379249: Frequency: 0.0, Amplitude: 4.344025239406933e-44, Offset: 89.99952697753906, Phase Shift: 4.344025239406933e-44, Phase: 10313.234375
0:00:15.470512: Frequency: 0.0, Amplitude: 4.344025239406933e-44, Offset: 89.99952697753906, Phase Shift: 4.344025239406933e-44, Phase: 10313.8076171875
0:00:15.574255: Frequency: 0.0, Amplitude: 4.344025239406933e-44, Offset: 89.99952697753906, Phase Shift: 4.344025239406933e-44, Phase: 10314.462890625
0:00:15.678084: Frequency: 0.0, Amplitude: 4.344025239406933e-44, Offset: 89.99952697753906, Phase Shift: 4.344025239406933e-44, Phase: 10315.1181640625
0:00:15.781910: Frequency: 0.0, Amplitude: 4.344025239406933e-44, Offset: 89.99952697753906, Phase Shift: 4.344025239406933e-44, Phase: 10315.7734375
0:00:15.873006: Frequency: 0.0, Amplitude: 4.344025239406933e-44, Offset: 89.99952697753906, Phase Shift: 4.344025239406933e-44, Phase: 10316.3466796875
0:00:15.976910: Frequency: 0.0, Amplitude: 4.344025239406933e-44, Offset: 89.99952697753906, Phase Shift: 4.344025239406933e-44, Phase: 10317.0009765625
0:00:16.080685: Frequency: 0.0, Amplitude: 4.344025239406933e-44, Offset: 89.99952697753906, Phase Shift: 4.344025239406933e-44, Phase: 10317.6552734375
0:00:16.184488: Frequency: 0.0, Amplitude: 4.344025239406933e-44, Offset: 89.99952697753906, Phase Shift: 4.344025239406933e-44, Phase: 10318.310546875
0:00:16.288295: Frequency: 0.0, Amplitude: 4.344025239406933e-44, Offset: 89.99952697753906, Phase Shift: 4.344025239406933e-44, Phase: 10318.9658203125
0:00:16.379521: Frequency: 0.0, Amplitude: 4.344025239406933e-44, Offset: 89.99952697753906, Phase Shift: 4.344025239406933e-44, Phase: 10319.5390625
0:00:16.483250: Frequency: 0.0, Amplitude: 4.344025239406933e-44, Offset: 89.99952697753906, Phase Shift: 4.344025239406933e-44, Phase: 10320.193359375
0:00:16.587109: Frequency: 0.0, Amplitude: 4.344025239406933e-44, Offset: 89.99952697753906, Phase Shift: 4.344025239406933e-44, Phase: 10320.84765625
0:00:16.690926: Frequency: 0.0, Amplitude: 4.344025239406933e-44, Offset: 89.99952697753906, Phase Shift: 4.344025239406933e-44, Phase: 10321.5029296875
0:00:16.782086: Frequency: 0.0, Amplitude: 4.344025239406933e-44, Offset: 89.99952697753906, Phase Shift: 4.344025239406933e-44, Phase: 10322.076171875
0:00:16.885908: Frequency: 0.0, Amplitude: 4.344025239406933e-44, Offset: 89.99952697753906, Phase Shift: 4.344025239406933e-44, Phase: 10322.73046875
0:00:16.989675: Frequency: 0.0, Amplitude: 4.344025239406933e-44, Offset: 89.99952697753906, Phase Shift: 4.344025239406933e-44, Phase: 10323.384765625
0:00:17.093483: Frequency: 0.0, Amplitude: 4.344025239406933e-44, Offset: 89.99952697753906, Phase Shift: 4.344025239406933e-44, Phase: 10324.0400390625
0:00:17.197284: Frequency: 0.0, Amplitude: 4.344025239406933e-44, Offset: 89.99952697753906, Phase Shift: 4.344025239406933e-44, Phase: 10324.6953125
0:00:17.288483: Frequency: 0.0, Amplitude: 4.344025239406933e-44, Offset: 89.99952697753906, Phase Shift: 4.344025239406933e-44, Phase: 10325.2685546875
