0:00:04.220102: {Acceleration: {Time: 4170, Status: 0, Value: (0.0,0.001953125,0.0)},Gyroscope: {Time: 4178, Status: 3, Value: (0.00390625,-0.0703125,0.0390625)},Magnetic: {Time: 4114, Status: 2, Value: (12.0625,-5.1875,-34.0)},Gravity: {Time: 4176, Status: 3, Value: (0.046875,0.453125,9.8515625)}, Rotation: {Time: 4173, Status: 0, Value: (0.01544189453125,0.01708984375,0.79046630859375, 0.612060546875)}}
0:00:04.314135: {Acceleration: {Time: 4269, Status: 0, Value: (0.001953125,0.001953125,-0.001953125)},Gyroscope: {Time: 4279, Status: 3, Value: (0.05078125,0.0546875,0.03125)},Magnetic: {Time: 4263, Status: 2, Value: (12.25,-3.125,-34.1875)},Gravity: {Time: 4276, Status: 3, Value: (0.0390625,0.4453125,9.859375)}, Rotation: {Time: 4271, Status: 0, Value: (0.01544189453125,0.01708984375,0.79046630859375, 0.61212158203125)}}
0:00:04.404825: {Acceleration: {Time: 4374, Status: 0, Value: (0.00390625,0.0,0.0)},Gyroscope: {Time: 4337, Status: 3, Value: (-0.01953125,-0.03125,-0.0078125)},Magnetic: {Time: 4311, Status: 2, Value: (11.6875,-5.375,-33.375)},Gravity: {Time: 4378, Status: 3, Value: (0.03125,0.4453125,9.859375)}, Rotation: {Time: 4370, Status: 0, Value: (0.01544189453125,0.01708984375,0.79046630859375, 0.61212158203125)}}
0:00:04.480806: {Acceleration: {Time: 4449, Status: 0, Value: (-0.00390625,-0.00390625,0.001953125)},Gyroscope: {Time: 4434, Status: 3, Value: (-0.02734375,0.015625,-0.0078125)},Magnetic: {Time: 4437, Status: 2, Value: (12.125,-3.5625,-34.125)},Gravity: {Time: 4420, Status: 3, Value: (0.0390625,0.4453125,9.859375)}, Rotation: {Time: 4444, Status: 0, Value: (0.015380859375,0.01708984375,0.79046630859375, 0.61212158203125)}}
0:00:04.577017: {Acceleration: {Time: 4539, Status: 0, Value: (-0.00390625,0.0,0.001953125)},Gyroscope: {Time: 4548, Status: 3, Value: (0.01953125,-0.17578125,-0.0078125)},Magnetic: {Time: 4482, Status: 2, Value: (11.1875,-5.8125,-35.0)},Gravity: {Time: 4545, Status: 3, Value: (0.03125,0.4453125,9.859375)}, Rotation: {Time: 4542, Status: 0, Value: (0.01544189453125,0.01708984375,0.79046630859375, 0.612060546875)}}
0:00:04.674990: {Acceleration: {Time: 4640, Status: 0, Value: (0.001953125,-0.001953125,0.0)},Gyroscope: {Time: 4632, Status: 3, Value: (0.01953125,0.0234375,-0.015625)},Magnetic: {Time: 4634, Status: 2, Value: (12.125,-4.8125,-34.375)},Gravity: {Time: 4628, Status: 3, Value: (0.03125,0.4375,9.8671875)}, Rotation: {Time: 4642, Status: 0, Value: (0.015380859375,0.01702880859375,0.79046630859375, 0.612060546875)}}
0:00:04.772062: {Acceleration: {Time: 4740, Status: 0, Value: (-0.0078125,-0.001953125,0.0)},Gyroscope: {Time: 4710, Status: 3, Value: (-0.01171875,-0.20703125,0.0234375)},Magnetic: {Time: 4724, Status: 2, Value: (11.1875,-7.25,-33.5625)},Gravity: {Time: 4708, Status: 3, Value: (0.0234375,0.4375,9.8671875)}, Rotation: {Time: 4735, Status: 0, Value: (0.01531982421875,0.0169677734375,0.79046630859375, 0.612060546875)}}
0:00:04.879056: {Acceleration: {Time: 4830, Status: 0, Value: (-0.00390625,-0.001953125,-0.001953125)},Gyroscope: {Time: 4839, Status: 3, Value: (-0.01171875,-0.0546875,-0.0546875)},Magnetic: {Time: 4773, Status: 2, Value: (11.5625,-5.875,-33.3125)},Gravity: {Time: 4836, Status: 3, Value: (0.0234375,0.4375,9.8671875)}, Rotation: {Time: 4833, Status: 0, Value: (0.01531982421875,0.0169677734375,0.79046630859375, 0.612060546875)}}
0:00:04.997803: {Acceleration: {Time: 4956, Status: 0, Value: (0.0,0.0,-0.00390625)},Gyroscope: {Time: 4949, Status: 3, Value: (0.09375,0.0234375,0.05859375)},Magnetic: {Time: 4952, Status: 2, Value: (12.125,-4.875,-33.6875)},Gravity: {Time: 4946, Status: 3, Value: (0.03125,0.4375,9.8671875)}, Rotation: {Time: 4958, Status: 0, Value: (0.01531982421875,0.0169677734375,0.79052734375, 0.61199951171875)}}
0:00:05.072995: {Acceleration: {Time: 5044, Status: 0, Value: (0.0,-0.001953125,0.0)},Gyroscope: {Time: 5033, Status: 3, Value: (-0.01953125,0.046875,-0.015625)},Magnetic: {Time: 5036, Status: 2, Value: (11.6875,-5.3125,-34.0625)},Gravity: {Time: 5019, Status: 3, Value: (0.03125,0.453125,9.8671875)}, Rotation: {Time: 5046, Status: 0, Value: (0.01531982421875,0.0169677734375,0.79052734375, 0.61199951171875)}}
