0:00:05.419737 {Acceleration: {Time: 5376, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 5369, Status: 3, Value: (-0.00390625,0.00390625,0.03515625)},Magnetic: {Time: 5372, Status: 2, Value: (8.9375,-19.25,-47.875)},Gravity: {Time: 5366, Status: 3, Value: (-0.2109375,0.046875,9.7578125)}, Rotation: {Time: 5379, Status: 2, Value: (-0.01025390625,0.00439453125,0.98175048828125, 0.1898193359375)}}
0:00:05.527998 {Acceleration: {Time: 5484, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 5449, Status: 3, Value: (-0.00390625,0.00390625,-0.00390625)},Magnetic: {Time: 5452, Status: 2, Value: (8.625,-17.875,-49.875)},Gravity: {Time: 5435, Status: 3, Value: (-0.2109375,0.046875,9.7578125)}, Rotation: {Time: 5487, Status: 2, Value: (-0.01025390625,0.00439453125,0.98175048828125, 0.1898193359375)}}
0:00:05.652047 {Acceleration: {Time: 5597, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 5564, Status: 3, Value: (-0.00390625,-0.03125,-0.01171875)},Magnetic: {Time: 5566, Status: 2, Value: (7.5,-17.875,-49.8125)},Gravity: {Time: 5561, Status: 3, Value: (-0.2109375,0.046875,9.765625)}, Rotation: {Time: 5594, Status: 2, Value: (-0.01025390625,0.00439453125,0.98175048828125, 0.18975830078125)}}
0:00:05.761491 {Acceleration: {Time: 5714, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 5674, Status: 3, Value: (-0.00390625,0.00390625,0.02734375)},Magnetic: {Time: 5677, Status: 2, Value: (8.25,-19.625,-49.875)},Gravity: {Time: 5671, Status: 3, Value: (-0.2109375,0.046875,9.765625)}, Rotation: {Time: 5708, Status: 2, Value: (-0.01025390625,0.00439453125,0.98175048828125, 0.18975830078125)}}
0:00:05.869750 {Acceleration: {Time: 5814, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 5822, Status: 3, Value: (-0.00390625,-0.03125,-0.01171875)},Magnetic: {Time: 5759, Status: 2, Value: (7.4375,-17.875,-48.1875)},Gravity: {Time: 5818, Status: 3, Value: (-0.2109375,0.046875,9.765625)}, Rotation: {Time: 5816, Status: 2, Value: (-0.01025390625,0.00439453125,0.98175048828125, 0.189697265625)}}
0:00:05.979757 {Acceleration: {Time: 5925, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 5933, Status: 3, Value: (-0.00390625,0.00390625,-0.01171875)},Magnetic: {Time: 5873, Status: 2, Value: (8.5625,-19.25,-48.25)},Gravity: {Time: 5931, Status: 3, Value: (-0.2109375,0.046875,9.765625)}, Rotation: {Time: 5928, Status: 2, Value: (-0.01025390625,0.00439453125,0.9818115234375, 0.189697265625)}}
0:00:06.104291 {Acceleration: {Time: 6052, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 6037, Status: 3, Value: (-0.00390625,-0.03125,-0.01171875)},Magnetic: {Time: 6040, Status: 2, Value: (8.9375,-19.625,-49.0625)},Gravity: {Time: 6022, Status: 3, Value: (-0.2109375,0.046875,9.765625)}, Rotation: {Time: 6048, Status: 2, Value: (-0.01019287109375,0.00439453125,0.9818115234375, 0.18963623046875)}}
0:00:06.213669 {Acceleration: {Time: 6159, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 6166, Status: 3, Value: (-0.00390625,-0.0234375,-0.01171875)},Magnetic: {Time: 6101, Status: 2, Value: (7.5,-17.875,-49.4375)},Gravity: {Time: 6163, Status: 3, Value: (-0.2109375,0.0390625,9.765625)}, Rotation: {Time: 6161, Status: 2, Value: (-0.01019287109375,0.00439453125,0.9818115234375, 0.1895751953125)}}
0:00:06.321603 {Acceleration: {Time: 6279, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 6243, Status: 3, Value: (-0.00390625,0.01171875,0.03515625)},Magnetic: {Time: 6246, Status: 2, Value: (7.4375,-18.5,-47.8125)},Gravity: {Time: 6239, Status: 3, Value: (-0.2109375,0.0390625,9.7578125)}, Rotation: {Time: 6276, Status: 2, Value: (-0.01019287109375,0.00433349609375,0.9818115234375, 0.18951416015625)}}
0:00:06.435112 {Acceleration: {Time: 6392, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 6386, Status: 3, Value: (0.03515625,0.01171875,-0.00390625)},Magnetic: {Time: 6388, Status: 2, Value: (7.4375,-17.875,-48.625)},Gravity: {Time: 6381, Status: 3, Value: (-0.2109375,0.0390625,9.7578125)}, Rotation: {Time: 6395, Status: 2, Value: (-0.01019287109375,0.00433349609375,0.9818115234375, 0.189453125)}}
0:00:06.555919 {Acceleration: {Time: 6512, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 6451, Status: 3, Value: (-0.00390625,0.01171875,0.03515625)},Magnetic: {Time: 6465, Status: 2, Value: (8.9375,-17.875,-48.6875)},Gravity: {Time: 6448, Status: 3, Value: (-0.2109375,0.0390625,9.7578125)}, Rotation: {Time: 6508, Status: 2, Value: (-0.01019287109375,0.00433349609375,0.9818115234375, 0.18939208984375)}}
0:00:06.680533 {Acceleration: {Time: 6623, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 6628, Status: 3, Value: (-0.00390625,-0.03125,0.03515625)},Magnetic: {Time: 6586, Status: 2, Value: (8.1875,-18.875,-48.6875)},Gravity: {Time: 6625, Status: 3, Value: (-0.2109375,0.046875,9.7578125)}, Rotation: {Time: 6619, Status: 2, Value: (-0.01019287109375,0.00433349609375,0.98187255859375, 0.18939208984375)}}
0:00:06.789164 {Acceleration: {Time: 6742, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 6732, Status: 3, Value: (-0.00390625,0.00390625,0.03515625)},Magnetic: {Time: 6736, Status: 2, Value: (8.5625,-18.5625,-49.5)},Gravity: {Time: 6729, Status: 3, Value: (-0.2109375,0.046875,9.7578125)}, Rotation: {Time: 6744, Status: 2, Value: (-0.01019287109375,0.00433349609375,0.98187255859375, 0.1893310546875)}}
