0:00:04.391430 {Acceleration: {Time: 4353, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4362, Status: 3, Value: (-0.05859375,-0.01953125,-0.1796875)},Magnetic: {Time: 4296, Status: 1, Value: (-29.4375,29.75,-16.8125)},Gravity: {Time: 4358, Status: 3, Value: (0.171875,-0.25,9.640625)}, Rotation: {Time: 4355, Status: 0, Value: (-0.015380859375,-0.0032958984375,-0.38262939453125, 0.92376708984375)}}
0:00:04.474488 {Acceleration: {Time: 4443, Status: 0, Value: (-0.005859375,0.00390625,0.001953125)},Gyroscope: {Time: 4437, Status: 3, Value: (-0.01953125,0.02734375,-0.09375)},Magnetic: {Time: 4439, Status: 1, Value: (-27.8125,28.375,-16.375)},Gravity: {Time: 4434, Status: 3, Value: (0.171875,-0.2578125,9.6328125)}, Rotation: {Time: 4445, Status: 0, Value: (-0.01580810546875,-0.0030517578125,-0.3826904296875, 0.92376708984375)}}
0:00:04.587089 {Acceleration: {Time: 4555, Status: 0, Value: (-0.00390625,0.001953125,0.001953125)},Gyroscope: {Time: 4549, Status: 3, Value: (-0.01953125,0.02734375,-0.0546875)},Magnetic: {Time: 4552, Status: 1, Value: (-28.5,30.4375,-15.375)},Gravity: {Time: 4545, Status: 3, Value: (0.171875,-0.2578125,9.6328125)}, Rotation: {Time: 4558, Status: 0, Value: (-0.0157470703125,-0.00311279296875,-0.38262939453125, 0.92376708984375)}}
0:00:04.672365 {Acceleration: {Time: 4641, Status: 0, Value: (0.001953125,0.0,0.001953125)},Gyroscope: {Time: 4615, Status: 3, Value: (0.01171875,-0.01953125,0.01953125)},Magnetic: {Time: 4629, Status: 1, Value: (-28.875,29.8125,-15.0625)},Gravity: {Time: 4612, Status: 3, Value: (0.1796875,-0.25,9.6328125)}, Rotation: {Time: 4643, Status: 0, Value: (-0.01568603515625,-0.00311279296875,-0.382568359375, 0.92376708984375)}}
0:00:04.783484 {Acceleration: {Time: 4746, Status: 0, Value: (0.0,0.00390625,0.0)},Gyroscope: {Time: 4752, Status: 3, Value: (-0.02734375,0.01953125,-0.01953125)},Magnetic: {Time: 4754, Status: 1, Value: (-28.4375,28.8125,-15.125)},Gravity: {Time: 4749, Status: 3, Value: (0.1796875,-0.25,9.6328125)}, Rotation: {Time: 4741, Status: 0, Value: (-0.0157470703125,-0.00311279296875,-0.38262939453125, 0.92376708984375)}}
0:00:04.878361 {Acceleration: {Time: 4841, Status: 0, Value: (-0.001953125,0.001953125,0.0)},Gyroscope: {Time: 4849, Status: 3, Value: (-0.01953125,-0.01953125,-0.02734375)},Magnetic: {Time: 4787, Status: 1, Value: (-29.5,29.125,-16.125)},Gravity: {Time: 4847, Status: 3, Value: (0.171875,-0.25,9.640625)}, Rotation: {Time: 4844, Status: 0, Value: (-0.0157470703125,-0.0030517578125,-0.38262939453125, 0.92376708984375)}}
0:00:04.994932 {Acceleration: {Time: 4957, Status: 0, Value: (0.017578125,0.013671875,-0.001953125)},Gyroscope: {Time: 4966, Status: 3, Value: (0.1640625,-0.1328125,-0.33203125)},Magnetic: {Time: 4929, Status: 1, Value: (-27.0625,29.5625,-16.375)},Gravity: {Time: 4964, Status: 3, Value: (0.1796875,-0.25,9.640625)}, Rotation: {Time: 4959, Status: 0, Value: (-0.01568603515625,-0.0030517578125,-0.38262939453125, 0.92376708984375)}}
0:00:05.090179 {Acceleration: {Time: 5058, Status: 0, Value: (-0.005859375,-0.037109375,-0.001953125)},Gyroscope: {Time: 5023, Status: 3, Value: (-0.2734375,-0.0625,1.09375)},Magnetic: {Time: 4999, Status: 1, Value: (-28.75,31.0,-16.8125)},Gravity: {Time: 5019, Status: 3, Value: (0.1953125,-0.2421875,9.6328125)}, Rotation: {Time: 5061, Status: 0, Value: (-0.015869140625,-0.00360107421875,-0.38262939453125, 0.92376708984375)}}
0:00:05.195053 {Acceleration: {Time: 5164, Status: 0, Value: (-0.001953125,0.01171875,-0.00390625)},Gyroscope: {Time: 5144, Status: 3, Value: (0.1953125,-0.04296875,0.00390625)},Magnetic: {Time: 5158, Status: 1, Value: (-29.25,29.1875,-15.0)},Gravity: {Time: 5141, Status: 3, Value: (0.1875,-0.2265625,9.6875)}, Rotation: {Time: 5138, Status: 0, Value: (-0.01580810546875,-0.00360107421875,-0.3826904296875, 0.92376708984375)}}
0:00:05.281427 {Acceleration: {Time: 5253, Status: 0, Value: (0.005859375,-0.005859375,-0.001953125)},Gyroscope: {Time: 5238, Status: 3, Value: (0.01171875,-0.04296875,-0.125)},Magnetic: {Time: 5241, Status: 1, Value: (-29.0625,28.75,-16.1875)},Gravity: {Time: 5224, Status: 3, Value: (0.1796875,-0.2265625,9.703125)}, Rotation: {Time: 5248, Status: 0, Value: (-0.015869140625,-0.00384521484375,-0.38262939453125, 0.92376708984375)}}
0:00:05.391337 {Acceleration: {Time: 5354, Status: 0, Value: (-0.005859375,-0.001953125,0.00390625)},Gyroscope: {Time: 5363, Status: 3, Value: (0.171875,-0.0703125,0.1875)},Magnetic: {Time: 5326, Status: 1, Value: (-28.6875,29.6875,-16.5625)},Gravity: {Time: 5359, Status: 3, Value: (0.171875,-0.234375,9.6953125)}, Rotation: {Time: 5356, Status: 0, Value: (-0.01580810546875,-0.00384521484375,-0.382568359375, 0.92376708984375)}}
0:00:05.494547 {Acceleration: {Time: 5464, Status: 0, Value: (0.001953125,0.0,0.0)},Gyroscope: {Time: 5443, Status: 3, Value: (0.01171875,-0.02734375,0.08203125)},Magnetic: {Time: 5457, Status: 1, Value: (-27.5,28.6875,-16.0)},Gravity: {Time: 5441, Status: 3, Value: (0.1796875,-0.2421875,9.6875)}, Rotation: {Time: 5438, Status: 0, Value: (-0.015869140625,-0.00384521484375,-0.382568359375, 0.92376708984375)}}
0:00:05.607078 {Acceleration: {Time: 5576, Status: 0, Value: (0.0,0.005859375,0.001953125)},Gyroscope: {Time: 5550, Status: 3, Value: (-0.140625,0.01953125,0.01171875)},Magnetic: {Time: 5564, Status: 1, Value: (-29.6875,29.5,-14.9375)},Gravity: {Time: 5548, Status: 3, Value: (0.1796875,-0.25,9.6796875)}, Rotation: {Time: 5579, Status: 0, Value: (-0.01580810546875,-0.00384521484375,-0.38262939453125, 0.92376708984375)}}
0:00:05.691255 {Acceleration: {Time: 5655, Status: 0, Value: (0.001953125,0.0,-0.001953125)},Gyroscope: {Time: 5660, Status: 3, Value: (0.01953125,-0.01953125,-0.05078125)},Magnetic: {Time: 5663, Status: 1, Value: (-28.4375,30.375,-15.8125)},Gravity: {Time: 5657, Status: 3, Value: (0.171875,-0.25,9.6640625)}, Rotation: {Time: 5650, Status: 0, Value: (-0.0157470703125,-0.00384521484375,-0.3826904296875, 0.92376708984375)}}
0:00:05.791504 {Acceleration: {Time: 5760, Status: 0, Value: (-0.001953125,0.001953125,-0.001953125)},Gyroscope: {Time: 5734, Status: 3, Value: (-0.01953125,-0.01953125,-0.04296875)},Magnetic: {Time: 5748, Status: 1, Value: (-29.375,29.125,-16.875)},Gravity: {Time: 5731, Status: 3, Value: (0.171875,-0.25,9.65625)}, Rotation: {Time: 5763, Status: 0, Value: (-0.01568603515625,-0.0037841796875,-0.38275146484375, 0.9237060546875)}}
