0:00:04.962578 {Acceleration: {Time: 4942, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4920, Status: 3, Value: (0.015625,-0.0078125,-0.01953125)},Magnetic: {Time: 4935, Status: 2, Value: (17.3125,14.625,41.1875)},Gravity: {Time: 4918, Status: 3, Value: (0.328125,-0.4140625,-10.015625)}, Rotation: {Time: 4915, Status: 2, Value: (-0.46771240234375,-0.88348388671875,0.0106201171875, 0.02459716796875)}}
0:00:05.074385 {Acceleration: {Time: 5057, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 5051, Status: 3, Value: (0.015625,-0.0078125,0.015625)},Magnetic: {Time: 5054, Status: 2, Value: (17.6875,14.3125,42.0)},Gravity: {Time: 5047, Status: 3, Value: (0.328125,-0.4140625,-10.015625)}, Rotation: {Time: 5060, Status: 2, Value: (-0.4677734375,-0.8834228515625,0.0106201171875, 0.0245361328125)}}
0:00:05.186379 {Acceleration: {Time: 5175, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 5119, Status: 3, Value: (0.015625,-0.0078125,-0.01953125)},Magnetic: {Time: 5133, Status: 2, Value: (16.9375,14.625,41.625)},Gravity: {Time: 5115, Status: 3, Value: (0.328125,-0.4140625,-10.015625)}, Rotation: {Time: 5172, Status: 2, Value: (-0.4677734375,-0.8834228515625,0.0106201171875, 0.0245361328125)}}
0:00:05.306388 {Acceleration: {Time: 5285, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 5254, Status: 3, Value: (-0.0234375,-0.0078125,-0.01953125)},Magnetic: {Time: 5256, Status: 2, Value: (16.9375,13.1875,40.4375)},Gravity: {Time: 5292, Status: 3, Value: (0.328125,-0.4140625,-10.015625)}, Rotation: {Time: 5288, Status: 2, Value: (-0.4677734375,-0.8834228515625,0.0106201171875, 0.0245361328125)}}
0:00:05.426389 {Acceleration: {Time: 5410, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 5381, Status: 3, Value: (0.015625,0.03125,0.0234375)},Magnetic: {Time: 5396, Status: 2, Value: (18.0625,13.9375,41.1875)},Gravity: {Time: 5379, Status: 3, Value: (0.328125,-0.4140625,-10.0234375)}, Rotation: {Time: 5413, Status: 2, Value: (-0.46783447265625,-0.8834228515625,0.0106201171875, 0.0245361328125)}}
0:00:05.543143 {Acceleration: {Time: 5516, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 5524, Status: 3, Value: (0.015625,-0.0078125,-0.01171875)},Magnetic: {Time: 5462, Status: 2, Value: (19.1875,14.9375,40.5)},Gravity: {Time: 5522, Status: 3, Value: (0.328125,-0.4140625,-10.0234375)}, Rotation: {Time: 5520, Status: 2, Value: (-0.46783447265625,-0.8834228515625,0.0106201171875, 0.02447509765625)}}
0:00:05.647339 {Acceleration: {Time: 5636, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 5604, Status: 3, Value: (0.015625,-0.0078125,0.0234375)},Magnetic: {Time: 5606, Status: 2, Value: (17.6875,15.3125,42.0)},Gravity: {Time: 5601, Status: 3, Value: (0.328125,-0.4140625,-10.0234375)}, Rotation: {Time: 5632, Status: 2, Value: (-0.4678955078125,-0.88336181640625,0.0106201171875, 0.02447509765625)}}
0:00:05.767134 {Acceleration: {Time: 5742, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 5750, Status: 3, Value: (-0.0234375,-0.0078125,-0.01171875)},Magnetic: {Time: 5686, Status: 2, Value: (17.3125,14.625,40.8125)},Gravity: {Time: 5748, Status: 3, Value: (0.328125,-0.4140625,-10.0234375)}, Rotation: {Time: 5745, Status: 2, Value: (-0.4678955078125,-0.88336181640625,0.0106201171875, 0.02447509765625)}}
0:00:05.871467 {Acceleration: {Time: 5866, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 5829, Status: 3, Value: (0.015625,0.03125,0.0625)},Magnetic: {Time: 5832, Status: 2, Value: (17.3125,14.625,41.625)},Gravity: {Time: 5825, Status: 3, Value: (0.328125,-0.4140625,-10.0234375)}, Rotation: {Time: 5863, Status: 2, Value: (-0.46795654296875,-0.88336181640625,0.0106201171875, 0.02447509765625)}}
0:00:05.991468 {Acceleration: {Time: 5976, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 5945, Status: 3, Value: (0.015625,-0.0078125,0.0234375)},Magnetic: {Time: 5948, Status: 2, Value: (16.5,14.9375,40.4375)},Gravity: {Time: 5982, Status: 3, Value: (0.328125,-0.4140625,-10.0234375)}, Rotation: {Time: 5978, Status: 2, Value: (-0.46795654296875,-0.88336181640625,0.0106201171875, 0.0244140625)}}
0:00:06.116139 {Acceleration: {Time: 6097, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 6090, Status: 3, Value: (0.015625,0.03125,0.0234375)},Magnetic: {Time: 6093, Status: 2, Value: (16.9375,15.3125,41.1875)},Gravity: {Time: 6087, Status: 3, Value: (0.328125,-0.4140625,-10.0234375)}, Rotation: {Time: 6100, Status: 2, Value: (-0.468017578125,-0.88330078125,0.0106201171875, 0.0244140625)}}
