0:00:04.860981: {Acceleration: {Time: 4822, Status: 0, Value: (-0.001953125,0.0,0.0)},Gyroscope: {Time: 4796, Status: 3, Value: (0.01953125,0.01953125,0.00390625)},Magnetic: {Time: 4810, Status: 1, Value: (-29.5,28.5,-15.8125)},Gravity: {Time: 4794, Status: 3, Value: (0.171875,-0.25,9.6484375)}, Rotation: {Time: 4826, Status: 0, Value: (-0.015380859375,-0.00311279296875,-0.3892822265625, 0.9210205078125)}}
0:00:04.941605: {Acceleration: {Time: 4904, Status: 0, Value: (-0.001953125,0.0,0.0)},Gyroscope: {Time: 4896, Status: 3, Value: (-0.01953125,-0.01953125,0.00390625)},Magnetic: {Time: 4900, Status: 1, Value: (-29.875,28.1875,-15.8125)},Gravity: {Time: 4893, Status: 3, Value: (0.171875,-0.25,9.6484375)}, Rotation: {Time: 4906, Status: 0, Value: (-0.015380859375,-0.00311279296875,-0.3892822265625, 0.92095947265625)}}
0:00:05.051665: {Acceleration: {Time: 5017, Status: 0, Value: (0.001953125,0.0,0.0)},Gyroscope: {Time: 4965, Status: 3, Value: (-0.01953125,-0.01953125,-0.03515625)},Magnetic: {Time: 4979, Status: 1, Value: (-28.4375,29.125,-15.125)},Gravity: {Time: 4961, Status: 3, Value: (0.171875,-0.25,9.6484375)}, Rotation: {Time: 5011, Status: 0, Value: (-0.015380859375,-0.003173828125,-0.38922119140625, 0.9210205078125)}}
0:00:05.150082: {Acceleration: {Time: 5106, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 5115, Status: 3, Value: (0.01953125,0.01953125,-0.02734375)},Magnetic: {Time: 5051, Status: 1, Value: (-28.625,29.1875,-14.0)},Gravity: {Time: 5112, Status: 3, Value: (0.171875,-0.25,9.640625)}, Rotation: {Time: 5109, Status: 0, Value: (-0.015380859375,-0.003173828125,-0.38922119140625, 0.9210205078125)}}
0:00:05.275614: {Acceleration: {Time: 5238, Status: 0, Value: (-0.001953125,0.001953125,0.0)},Gyroscope: {Time: 5211, Status: 3, Value: (0.01953125,0.01953125,0.01171875)},Magnetic: {Time: 5225, Status: 1, Value: (-31.125,28.9375,-15.625)},Gravity: {Time: 5209, Status: 3, Value: (0.171875,-0.25,9.640625)}, Rotation: {Time: 5241, Status: 0, Value: (-0.01544189453125,-0.00311279296875,-0.3892822265625, 0.9210205078125)}}
0:00:05.369116: {Acceleration: {Time: 5324, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 5330, Status: 3, Value: (0.01953125,-0.01953125,0.01171875)},Magnetic: {Time: 5332, Status: 1, Value: (-29.375,29.875,-14.1875)},Gravity: {Time: 5327, Status: 3, Value: (0.171875,-0.25,9.640625)}, Rotation: {Time: 5334, Status: 0, Value: (-0.01544189453125,-0.00311279296875,-0.3892822265625, 0.9210205078125)}}
0:00:05.456516: {Acceleration: {Time: 5420, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 5390, Status: 3, Value: (0.01953125,-0.01953125,0.01171875)},Magnetic: {Time: 5392, Status: 1, Value: (-28.3125,29.3125,-16.3125)},Gravity: {Time: 5388, Status: 3, Value: (0.171875,-0.25,9.640625)}, Rotation: {Time: 5422, Status: 0, Value: (-0.01544189453125,-0.00311279296875,-0.3892822265625, 0.9210205078125)}}
0:00:05.563568: {Acceleration: {Time: 5527, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 5506, Status: 3, Value: (-0.02734375,0.02734375,0.00390625)},Magnetic: {Time: 5520, Status: 1, Value: (-29.875,28.8125,-16.1875)},Gravity: {Time: 5503, Status: 3, Value: (0.1796875,-0.2578125,9.6484375)}, Rotation: {Time: 5501, Status: 0, Value: (-0.01544189453125,-0.00311279296875,-0.3892822265625, 0.9210205078125)}}
0:00:05.669569: {Acceleration: {Time: 5625, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 5630, Status: 3, Value: (-0.02734375,-0.01171875,0.00390625)},Magnetic: {Time: 5633, Status: 1, Value: (-29.625,29.5,-15.375)},Gravity: {Time: 5628, Status: 3, Value: (0.1796875,-0.2578125,9.6484375)}, Rotation: {Time: 5635, Status: 0, Value: (-0.0155029296875,-0.00311279296875,-0.3892822265625, 0.9210205078125)}}
0:00:05.754945: {Acceleration: {Time: 5718, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 5684, Status: 3, Value: (0.05078125,0.02734375,0.04296875)},Magnetic: {Time: 5688, Status: 1, Value: (-29.6875,28.9375,-14.25)},Gravity: {Time: 5681, Status: 3, Value: (0.1796875,-0.2578125,9.6484375)}, Rotation: {Time: 5721, Status: 0, Value: (-0.0155029296875,-0.003173828125,-0.3892822265625, 0.9210205078125)}}
0:00:05.870574: {Acceleration: {Time: 5833, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 5806, Status: 3, Value: (-0.02734375,0.02734375,0.00390625)},Magnetic: {Time: 5820, Status: 1, Value: (-29.6875,29.25,-14.625)},Gravity: {Time: 5803, Status: 3, Value: (0.1796875,-0.2578125,9.6484375)}, Rotation: {Time: 5836, Status: 0, Value: (-0.0155029296875,-0.003173828125,-0.3892822265625, 0.9210205078125)}}
