0:00:04.925710 {Acceleration: {Time: 4877, Status: 0, Value: (0.0,0.0,0.001953125)},Gyroscope: {Time: 4839, Status: 3, Value: (-0.01171875,-0.01953125,0.01171875)},Magnetic: {Time: 4842, Status: 1, Value: (-29.0625,28.8125,-15.9375)},Gravity: {Time: 4835, Status: 3, Value: (0.1640625,-0.25,9.640625)}, Rotation: {Time: 4873, Status: 0, Value: (-0.014892578125,-0.00311279296875,-0.38800048828125, 0.9215087890625)}}
0:00:05.023141 {Acceleration: {Time: 4967, Status: 0, Value: (-0.001953125,0.0,-0.001953125)},Gyroscope: {Time: 4976, Status: 3, Value: (-0.01171875,0.01953125,0.01171875)},Magnetic: {Time: 4936, Status: 1, Value: (-29.5625,28.8125,-15.5625)},Gravity: {Time: 4973, Status: 3, Value: (0.1640625,-0.25,9.640625)}, Rotation: {Time: 4969, Status: 0, Value: (-0.014892578125,-0.00311279296875,-0.38800048828125, 0.9215087890625)}}
0:00:05.146434 {Acceleration: {Time: 5097, Status: 0, Value: (-0.00390625,0.0,-0.00390625)},Gyroscope: {Time: 5059, Status: 3, Value: (-0.01171875,-0.01953125,-0.02734375)},Magnetic: {Time: 5062, Status: 1, Value: (-30.3125,28.875,-15.8125)},Gravity: {Time: 5056, Status: 3, Value: (0.1640625,-0.25,9.640625)}, Rotation: {Time: 5093, Status: 0, Value: (-0.014892578125,-0.0030517578125,-0.38800048828125, 0.9215087890625)}}
0:00:05.300579 {Acceleration: {Time: 5254, Status: 0, Value: (0.0,0.0,-0.001953125)},Gyroscope: {Time: 5197, Status: 3, Value: (-0.01171875,0.01953125,-0.02734375)},Magnetic: {Time: 5211, Status: 1, Value: (-29.0,27.75,-16.0625)},Gravity: {Time: 5194, Status: 3, Value: (0.1640625,-0.25,9.640625)}, Rotation: {Time: 5251, Status: 0, Value: (-0.01495361328125,-0.0030517578125,-0.38800048828125, 0.9215087890625)}}
0:00:05.413920 {Acceleration: {Time: 5367, Status: 0, Value: (0.001953125,0.0,-0.001953125)},Gyroscope: {Time: 5352, Status: 3, Value: (-0.01171875,-0.01953125,0.01171875)},Magnetic: {Time: 5355, Status: 1, Value: (-30.625,28.5625,-16.1875)},Gravity: {Time: 5338, Status: 3, Value: (0.1640625,-0.25,9.640625)}, Rotation: {Time: 5363, Status: 0, Value: (-0.01495361328125,-0.00311279296875,-0.38800048828125, 0.9215087890625)}}
0:00:05.513938 {Acceleration: {Time: 5458, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 5467, Status: 3, Value: (0.02734375,0.01953125,-0.02734375)},Magnetic: {Time: 5426, Status: 1, Value: (-30.0,29.1875,-15.5)},Gravity: {Time: 5464, Status: 3, Value: (0.1640625,-0.25,9.640625)}, Rotation: {Time: 5460, Status: 0, Value: (-0.01495361328125,-0.00311279296875,-0.3880615234375, 0.9215087890625)}}
0:00:05.634924 {Acceleration: {Time: 5586, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 5578, Status: 3, Value: (-0.01171875,0.01953125,0.01171875)},Magnetic: {Time: 5581, Status: 1, Value: (-30.625,29.3125,-13.9375)},Gravity: {Time: 5575, Status: 3, Value: (0.1640625,-0.25,9.640625)}, Rotation: {Time: 5588, Status: 0, Value: (-0.0150146484375,-0.0030517578125,-0.3880615234375, 0.9215087890625)}}
0:00:05.744827 {Acceleration: {Time: 5699, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 5658, Status: 3, Value: (-0.01171875,0.01953125,0.01171875)},Magnetic: {Time: 5661, Status: 1, Value: (-30.875,29.0,-14.25)},Gravity: {Time: 5655, Status: 3, Value: (0.1640625,-0.25,9.640625)}, Rotation: {Time: 5693, Status: 0, Value: (-0.0150146484375,-0.0030517578125,-0.3880615234375, 0.9215087890625)}}
0:00:05.884412 {Acceleration: {Time: 5824, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 5798, Status: 3, Value: (-0.01171875,-0.02734375,-0.02734375)},Magnetic: {Time: 5812, Status: 1, Value: (-29.5625,28.1875,-14.8125)},Gravity: {Time: 5795, Status: 3, Value: (0.1640625,-0.2421875,9.640625)}, Rotation: {Time: 5827, Status: 0, Value: (-0.0150146484375,-0.0030517578125,-0.3880615234375, 0.9215087890625)}}
0:00:05.996044 {Acceleration: {Time: 5940, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 5932, Status: 3, Value: (-0.01171875,0.01953125,0.01171875)},Magnetic: {Time: 5935, Status: 1, Value: (-29.875,28.1875,-15.5625)},Gravity: {Time: 5929, Status: 3, Value: (0.1640625,-0.25,9.640625)}, Rotation: {Time: 5942, Status: 0, Value: (-0.0150146484375,-0.0030517578125,-0.3880615234375, 0.9215087890625)}}
0:00:06.108530 {Acceleration: {Time: 6052, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 5999, Status: 3, Value: (-0.01171875,0.00390625,0.01171875)},Magnetic: {Time: 6014, Status: 1, Value: (-30.9375,29.3125,-14.25)},Gravity: {Time: 5997, Status: 3, Value: (0.1640625,-0.234375,9.640625)}, Rotation: {Time: 6046, Status: 0, Value: (-0.01495361328125,-0.0030517578125,-0.3880615234375, 0.9215087890625)}}
0:00:06.222522 {Acceleration: {Time: 6168, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 6140, Status: 3, Value: (-0.01171875,-0.03515625,-0.02734375)},Magnetic: {Time: 6154, Status: 1, Value: (-28.625,27.75,-15.6875)},Gravity: {Time: 6137, Status: 3, Value: (0.1640625,-0.234375,9.640625)}, Rotation: {Time: 6170, Status: 0, Value: (-0.01495361328125,-0.0030517578125,-0.3880615234375, 0.9215087890625)}}
0:00:06.406296 {Acceleration: {Time: 6276, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 6283, Status: 3, Value: (0.02734375,-0.03515625,0.01171875)},Magnetic: {Time: 6222, Status: 1, Value: (-29.5,28.5,-15.5625)},Gravity: {Time: 6281, Status: 3, Value: (0.1640625,-0.234375,9.640625)}, Rotation: {Time: 6278, Status: 0, Value: (-0.01495361328125,-0.0030517578125,-0.3880615234375, 0.9215087890625)}}
0:00:06.425392 {Acceleration: {Time: 6380, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 6350, Status: 3, Value: (-0.01171875,-0.01953125,0.01171875)},Magnetic: {Time: 6364, Status: 1, Value: (-30.5625,29.5,-16.9375)},Gravity: {Time: 6348, Status: 3, Value: (0.1640625,-0.25,9.640625)}, Rotation: {Time: 6375, Status: 0, Value: (-0.01495361328125,-0.0030517578125,-0.3880615234375, 0.9215087890625)}}
0:00:06.524691 {Acceleration: {Time: 6470, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 6479, Status: 3, Value: (-0.01171875,-0.01953125,0.01171875)},Magnetic: {Time: 6413, Status: 1, Value: (-29.875,29.1875,-16.25)},Gravity: {Time: 6476, Status: 3, Value: (0.1640625,-0.25,9.640625)}, Rotation: {Time: 6473, Status: 0, Value: (-0.01495361328125,-0.0030517578125,-0.3880615234375, 0.9215087890625)}}
