0:00:04.553252: {Acceleration: {Time: 4509, Status: 0, Value: (-0.001953125,0.0,0.0)},Gyroscope: {Time: 4517, Status: 3, Value: (-0.00390625,0.00390625,-0.01953125)},Magnetic: {Time: 4478, Status: 1, Value: (-26.0,-21.625,-8.5)},Gravity: {Time: 4515, Status: 3, Value: (0.1171875,-0.1953125,9.6328125)}, Rotation: {Time: 4512, Status: 0, Value: (-0.010009765625,-0.00531005859375,6.103515625e-05, 0.99993896484375)}}
0:00:04.661250: {Acceleration: {Time: 4623, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4597, Status: 3, Value: (-0.00390625,0.00390625,0.01953125)},Magnetic: {Time: 4611, Status: 1, Value: (-26.5625,-21.5,-7.0)},Gravity: {Time: 4595, Status: 3, Value: (0.1171875,-0.1953125,9.6328125)}, Rotation: {Time: 4625, Status: 0, Value: (-0.01007080078125,-0.00531005859375,-6.103515625e-05, 0.99993896484375)}}
0:00:04.748561: {Acceleration: {Time: 4710, Status: 0, Value: (0.00390625,0.0,0.0)},Gyroscope: {Time: 4674, Status: 3, Value: (-0.00390625,0.00390625,-0.01953125)},Magnetic: {Time: 4677, Status: 1, Value: (-26.5625,-20.875,-7.6875)},Gravity: {Time: 4671, Status: 3, Value: (0.1171875,-0.1953125,9.6328125)}, Rotation: {Time: 4713, Status: 0, Value: (-0.010009765625,-0.00531005859375,0.0, 0.99993896484375)}}
0:00:04.862365: {Acceleration: {Time: 4824, Status: 0, Value: (0.00390625,0.0,0.0)},Gyroscope: {Time: 4796, Status: 3, Value: (-0.00390625,0.00390625,-0.01953125)},Magnetic: {Time: 4811, Status: 1, Value: (-25.875,-20.5625,-7.0)},Gravity: {Time: 4794, Status: 3, Value: (0.1171875,-0.1953125,9.6328125)}, Rotation: {Time: 4826, Status: 0, Value: (-0.00994873046875,-0.00537109375,0.0, 0.99993896484375)}}
0:00:04.968387: {Acceleration: {Time: 4930, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4922, Status: 3, Value: (0.00390625,0.00390625,-0.01953125)},Magnetic: {Time: 4926, Status: 1, Value: (-25.3125,-21.3125,-7.875)},Gravity: {Time: 4919, Status: 3, Value: (0.109375,-0.1953125,9.6328125)}, Rotation: {Time: 4932, Status: 0, Value: (-0.00994873046875,-0.00537109375,0.0, 0.99993896484375)}}
0:00:05.080951: {Acceleration: {Time: 5036, Status: 0, Value: (0.0,-0.001953125,0.0)},Gyroscope: {Time: 5045, Status: 3, Value: (0.00390625,0.00390625,-0.01953125)},Magnetic: {Time: 5010, Status: 1, Value: (-25.6875,-21.3125,-8.1875)},Gravity: {Time: 5043, Status: 3, Value: (0.109375,-0.1953125,9.6328125)}, Rotation: {Time: 5040, Status: 0, Value: (-0.010009765625,-0.00543212890625,0.0, 0.99993896484375)}}
0:00:05.166366: {Acceleration: {Time: 5131, Status: 0, Value: (0.0,0.0,0.001953125)},Gyroscope: {Time: 5093, Status: 3, Value: (0.00390625,0.00390625,-0.01953125)},Magnetic: {Time: 5096, Status: 1, Value: (-25.125,-22.1875,-5.75)},Gravity: {Time: 5090, Status: 3, Value: (0.109375,-0.1953125,9.6328125)}, Rotation: {Time: 5126, Status: 0, Value: (-0.010009765625,-0.00543212890625,-6.103515625e-05, 0.99993896484375)}}
0:00:05.266536: {Acceleration: {Time: 5222, Status: 0, Value: (0.0,-0.001953125,0.00390625)},Gyroscope: {Time: 5231, Status: 3, Value: (0.00390625,0.00390625,-0.01953125)},Magnetic: {Time: 5194, Status: 1, Value: (-27.25,-20.5625,-8.6875)},Gravity: {Time: 5227, Status: 3, Value: (0.109375,-0.1953125,9.6328125)}, Rotation: {Time: 5224, Status: 0, Value: (-0.010009765625,-0.00543212890625,0.0, 0.99993896484375)}}
0:00:05.382110: {Acceleration: {Time: 5336, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 5342, Status: 3, Value: (0.00390625,-0.00390625,-0.01953125)},Magnetic: {Time: 5344, Status: 1, Value: (-25.75,-20.625,-8.1875)},Gravity: {Time: 5340, Status: 3, Value: (0.109375,-0.1875,9.6328125)}, Rotation: {Time: 5347, Status: 0, Value: (-0.010009765625,-0.00543212890625,0.0, 0.99993896484375)}}
0:00:05.468513: {Acceleration: {Time: 5431, Status: 0, Value: (0.0,0.0,-0.001953125)},Gyroscope: {Time: 5423, Status: 3, Value: (0.00390625,0.00390625,-0.01953125)},Magnetic: {Time: 5425, Status: 1, Value: (-26.125,-21.25,-7.4375)},Gravity: {Time: 5420, Status: 3, Value: (0.109375,-0.1953125,9.6328125)}, Rotation: {Time: 5433, Status: 0, Value: (-0.010009765625,-0.0054931640625,-6.103515625e-05, 0.99993896484375)}}
0:00:05.583149: {Acceleration: {Time: 5545, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 5519, Status: 3, Value: (0.00390625,0.00390625,-0.01953125)},Magnetic: {Time: 5533, Status: 1, Value: (-25.75,-20.625,-8.1875)},Gravity: {Time: 5516, Status: 3, Value: (0.109375,-0.1953125,9.6328125)}, Rotation: {Time: 5548, Status: 0, Value: (-0.010009765625,-0.0054931640625,-6.103515625e-05, 0.99993896484375)}}
0:00:05.669545: {Acceleration: {Time: 5632, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 5605, Status: 3, Value: (0.00390625,0.00390625,-0.01953125)},Magnetic: {Time: 5619, Status: 1, Value: (-26.5625,-21.5625,-7.4375)},Gravity: {Time: 5602, Status: 3, Value: (0.109375,-0.1953125,9.6328125)}, Rotation: {Time: 5634, Status: 0, Value: (-0.010009765625,-0.0054931640625,-6.103515625e-05, 0.99993896484375)}}
0:00:05.782115: {Acceleration: {Time: 5744, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 5734, Status: 3, Value: (0.00390625,0.03515625,0.01953125)},Magnetic: {Time: 5738, Status: 1, Value: (-25.1875,-20.0,-6.75)},Gravity: {Time: 5720, Status: 3, Value: (0.109375,-0.1875,9.6328125)}, Rotation: {Time: 5747, Status: 0, Value: (-0.010009765625,-0.0054931640625,-6.103515625e-05, 0.99993896484375)}}
0:00:05.890327: {Acceleration: {Time: 5855, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 5805, Status: 3, Value: (0.00390625,-0.00390625,-0.01953125)},Magnetic: {Time: 5819, Status: 1, Value: (-26.6875,-21.1875,-6.625)},Gravity: {Time: 5803, Status: 3, Value: (0.109375,-0.1875,9.6328125)}, Rotation: {Time: 5852, Status: 0, Value: (-0.010009765625,-0.0054931640625,-6.103515625e-05, 0.99993896484375)}}
