0:00:04.310965: {Acceleration: {Time: 4221, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4189, Status: 3, Value: (0.01171875,-0.02734375,0.015625)},Magnetic: {Time: 4191, Status: 2, Value: (-1.5,-24.25,-36.125)},Gravity: {Time: 4186, Status: 3, Value: (0.4609375,0.640625,9.8359375)}, Rotation: {Time: 4218, Status: 0, Value: (0.03009033203125,0.0269775390625,0.976806640625, 0.21026611328125)}}
0:00:04.397225: {Acceleration: {Time: 4308, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4318, Status: 3, Value: (0.01171875,0.05078125,0.0078125)},Magnetic: {Time: 4254, Status: 2, Value: (-1.5,-24.375,-35.125)},Gravity: {Time: 4315, Status: 3, Value: (0.4609375,0.640625,9.84375)}, Rotation: {Time: 4311, Status: 0, Value: (0.03009033203125,0.0269775390625,0.976806640625, 0.21026611328125)}}
0:00:04.496495: {Acceleration: {Time: 4408, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4372, Status: 3, Value: (0.01171875,0.01171875,0.0078125)},Magnetic: {Time: 4376, Status: 2, Value: (-2.0625,-23.9375,-36.8125)},Gravity: {Time: 4358, Status: 3, Value: (0.4609375,0.640625,9.84375)}, Rotation: {Time: 4402, Status: 0, Value: (0.03009033203125,0.0269775390625,0.976806640625, 0.21026611328125)}}
0:00:04.613307: {Acceleration: {Time: 4529, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4534, Status: 3, Value: (0.01171875,-0.02734375,0.0078125)},Magnetic: {Time: 4444, Status: 2, Value: (-2.1875,-25.625,-36.6875)},Gravity: {Time: 4532, Status: 3, Value: (0.4609375,0.640625,9.84375)}, Rotation: {Time: 4525, Status: 0, Value: (0.030029296875,0.0269775390625,0.976806640625, 0.21026611328125)}}
0:00:04.732406: {Acceleration: {Time: 4651, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4592, Status: 3, Value: (0.01171875,0.01171875,-0.03125)},Magnetic: {Time: 4594, Status: 2, Value: (-2.0625,-25.4375,-34.4375)},Gravity: {Time: 4589, Status: 3, Value: (0.4609375,0.640625,9.84375)}, Rotation: {Time: 4644, Status: 0, Value: (0.030029296875,0.0269775390625,0.976806640625, 0.21026611328125)}}
0:00:04.798512: {Acceleration: {Time: 4718, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4711, Status: 3, Value: (0.046875,0.01171875,-0.03125)},Magnetic: {Time: 4713, Status: 2, Value: (-2.625,-26.3125,-35.6875)},Gravity: {Time: 4708, Status: 3, Value: (0.4609375,0.640625,9.84375)}, Rotation: {Time: 4720, Status: 0, Value: (0.030029296875,0.0269775390625,0.976806640625, 0.21026611328125)}}
0:00:04.899344: {Acceleration: {Time: 4820, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4808, Status: 3, Value: (0.01171875,0.05078125,0.0078125)},Magnetic: {Time: 4811, Status: 2, Value: (-3.375,-25.3125,-36.125)},Gravity: {Time: 4804, Status: 3, Value: (0.4609375,0.640625,9.84375)}, Rotation: {Time: 4813, Status: 0, Value: (0.030029296875,0.0269775390625,0.976806640625, 0.21026611328125)}}
0:00:05.000694: {Acceleration: {Time: 4915, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4889, Status: 3, Value: (-0.02734375,0.05078125,0.046875)},Magnetic: {Time: 4903, Status: 2, Value: (-2.1875,-24.4375,-36.4375)},Gravity: {Time: 4885, Status: 3, Value: (0.4609375,0.640625,9.84375)}, Rotation: {Time: 4917, Status: 0, Value: (0.02996826171875,0.0269775390625,0.976806640625, 0.21026611328125)}}
0:00:05.061245: {Acceleration: {Time: 4989, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4945, Status: 3, Value: (0.046875,-0.06640625,0.0078125)},Magnetic: {Time: 4959, Status: 2, Value: (-3.375,-26.625,-35.0625)},Gravity: {Time: 4943, Status: 3, Value: (0.4609375,0.640625,9.84375)}, Rotation: {Time: 4982, Status: 0, Value: (0.02996826171875,0.0269775390625,0.976806640625, 0.21026611328125)}}
0:00:05.176895: {Acceleration: {Time: 5085, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 5048, Status: 3, Value: (0.01171875,0.01171875,0.046875)},Magnetic: {Time: 5024, Status: 2, Value: (-2.4375,-26.6875,-35.3125)},Gravity: {Time: 5089, Status: 3, Value: (0.4609375,0.6328125,9.84375)}, Rotation: {Time: 5081, Status: 0, Value: (0.02996826171875,0.0269775390625,0.976806640625, 0.21026611328125)}}
0:00:05.272118: {Acceleration: {Time: 5179, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 5187, Status: 3, Value: (0.01171875,-0.01953125,0.0078125)},Magnetic: {Time: 5146, Status: 2, Value: (-2.3125,-24.9375,-36.125)},Gravity: {Time: 5184, Status: 3, Value: (0.4609375,0.6328125,9.84375)}, Rotation: {Time: 5181, Status: 0, Value: (0.02996826171875,0.02691650390625,0.976806640625, 0.21026611328125)}}
0:00:05.354365: {Acceleration: {Time: 5260, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 5268, Status: 3, Value: (-0.02734375,0.05859375,0.046875)},Magnetic: {Time: 5204, Status: 2, Value: (-3.125,-25.75,-35.125)},Gravity: {Time: 5265, Status: 3, Value: (0.4609375,0.6328125,9.84375)}, Rotation: {Time: 5262, Status: 0, Value: (0.02996826171875,0.02691650390625,0.976806640625, 0.21026611328125)}}
0:00:05.435461: {Acceleration: {Time: 5359, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 5324, Status: 3, Value: (0.01171875,-0.01953125,-0.03125)},Magnetic: {Time: 5328, Status: 2, Value: (-2.1875,-25.75,-35.375)},Gravity: {Time: 5310, Status: 3, Value: (0.4609375,0.6328125,9.84375)}, Rotation: {Time: 5353, Status: 0, Value: (0.02996826171875,0.02691650390625,0.976806640625, 0.21026611328125)}}
0:00:05.565225: {Acceleration: {Time: 5473, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 5433, Status: 3, Value: (0.01171875,-0.02734375,0.015625)},Magnetic: {Time: 5436, Status: 2, Value: (-2.0625,-25.4375,-34.75)},Gravity: {Time: 5419, Status: 3, Value: (0.4609375,0.640625,9.8359375)}, Rotation: {Time: 5475, Status: 0, Value: (0.02996826171875,0.02691650390625,0.976806640625, 0.21026611328125)}}
0:00:05.645958: {Acceleration: {Time: 5554, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 5563, Status: 3, Value: (0.01171875,-0.02734375,0.015625)},Magnetic: {Time: 5498, Status: 2, Value: (-1.75,-25.25,-35.75)},Gravity: {Time: 5560, Status: 3, Value: (0.4609375,0.640625,9.8359375)}, Rotation: {Time: 5556, Status: 0, Value: (0.02996826171875,0.02691650390625,0.976806640625, 0.21026611328125)}}
0:00:05.746684: {Acceleration: {Time: 5660, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 5645, Status: 3, Value: (-0.02734375,-0.02734375,0.046875)},Magnetic: {Time: 5649, Status: 2, Value: (-2.4375,-25.4375,-36.0625)},Gravity: {Time: 5631, Status: 3, Value: (0.4609375,0.640625,9.84375)}, Rotation: {Time: 5655, Status: 0, Value: (0.0299072265625,0.02691650390625,0.976806640625, 0.21026611328125)}}
