0:00:04.258586: {Acceleration: {Time: 4205, Status: 0, Value: (0.005859375,0.00390625,0.001953125)},Gyroscope: {Time: 4168, Status: 3, Value: (0.01953125,-0.02734375,0.03125)},Magnetic: {Time: 4143, Status: 2, Value: (-3.875,-26.25,-37.125)},Gravity: {Time: 4164, Status: 3, Value: (0.453125,-0.0859375,9.859375)}, Rotation: {Time: 4208, Status: 0, Value: (-0.0225830078125,0.00238037109375,-0.99822998046875, 0.05487060546875)}}
0:00:04.371006: {Acceleration: {Time: 4317, Status: 0, Value: (0.00390625,0.001953125,0.0)},Gyroscope: {Time: 4311, Status: 3, Value: (0.01953125,0.01171875,0.03125)},Magnetic: {Time: 4313, Status: 2, Value: (-3.875,-26.1875,-37.5)},Gravity: {Time: 4306, Status: 3, Value: (0.453125,-0.0859375,9.859375)}, Rotation: {Time: 4320, Status: 0, Value: (-0.02264404296875,0.00244140625,-0.99822998046875, 0.05487060546875)}}
0:00:04.464461: {Acceleration: {Time: 4399, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4408, Status: 3, Value: (0.02734375,0.04296875,-0.0078125)},Magnetic: {Time: 4368, Status: 2, Value: (-3.25,-24.75,-37.5625)},Gravity: {Time: 4405, Status: 3, Value: (0.4453125,-0.078125,9.859375)}, Rotation: {Time: 4401, Status: 0, Value: (-0.0225830078125,0.0023193359375,-0.99822998046875, 0.05487060546875)}}
0:00:04.562093: {Acceleration: {Time: 4505, Status: 0, Value: (0.00390625,0.001953125,0.0)},Gyroscope: {Time: 4479, Status: 3, Value: (0.01953125,-0.03515625,-0.015625)},Magnetic: {Time: 4493, Status: 2, Value: (-4.8125,-27.25,-38.0625)},Gravity: {Time: 4475, Status: 3, Value: (0.453125,-0.078125,9.8671875)}, Rotation: {Time: 4508, Status: 0, Value: (-0.02264404296875,0.00238037109375,-0.99822998046875, 0.05487060546875)}}
0:00:04.648249: {Acceleration: {Time: 4570, Status: 0, Value: (0.0,-0.001953125,0.001953125)},Gyroscope: {Time: 4540, Status: 3, Value: (-0.01171875,0.04296875,-0.0078125)},Magnetic: {Time: 4493, Status: 2, Value: (-4.8125,-27.25,-38.0625)},Gravity: {Time: 4475, Status: 3, Value: (0.453125,-0.078125,9.8671875)}, Rotation: {Time: 4564, Status: 0, Value: (-0.0225830078125,0.0023193359375,-0.99822998046875, 0.054931640625)}}
0:00:04.748265: {Acceleration: {Time: 4690, Status: 0, Value: (0.001953125,0.0,-0.001953125)},Gyroscope: {Time: 4631, Status: 3, Value: (0.02734375,-0.00390625,-0.0078125)},Magnetic: {Time: 4633, Status: 2, Value: (-2.4375,-26.375,-38.75)},Gravity: {Time: 4627, Status: 3, Value: (0.4453125,-0.0703125,9.859375)}, Rotation: {Time: 4684, Status: 0, Value: (-0.02264404296875,0.0023193359375,-0.99822998046875, 0.054931640625)}}
0:00:04.818375: {Acceleration: {Time: 4762, Status: 0, Value: (-0.00390625,-0.001953125,0.001953125)},Gyroscope: {Time: 4631, Status: 3, Value: (0.02734375,-0.00390625,-0.0078125)},Magnetic: {Time: 4728, Status: 2, Value: (-3.0,-26.1875,-38.4375)},Gravity: {Time: 4720, Status: 3, Value: (0.4453125,-0.0703125,9.859375)}, Rotation: {Time: 4759, Status: 0, Value: (-0.0225830078125,0.0023193359375,-0.99822998046875, 0.05487060546875)}}
0:00:04.947919: {Acceleration: {Time: 4885, Status: 0, Value: (0.001953125,0.0,-0.001953125)},Gyroscope: {Time: 4875, Status: 3, Value: (-0.01171875,0.00390625,0.03125)},Magnetic: {Time: 4878, Status: 2, Value: (-4.625,-27.5625,-38.0625)},Gravity: {Time: 4861, Status: 3, Value: (0.4453125,-0.078125,9.859375)}, Rotation: {Time: 4888, Status: 0, Value: (-0.02264404296875,0.00238037109375,-0.99822998046875, 0.05487060546875)}}
0:00:05.025028: {Acceleration: {Time: 4969, Status: 0, Value: (0.001953125,0.0,0.0)},Gyroscope: {Time: 4961, Status: 3, Value: (0.02734375,0.00390625,0.03125)},Magnetic: {Time: 4964, Status: 2, Value: (-2.75,-25.375,-37.5)},Gravity: {Time: 4958, Status: 3, Value: (0.4453125,-0.078125,9.859375)}, Rotation: {Time: 4971, Status: 0, Value: (-0.02264404296875,0.00238037109375,-0.99822998046875, 0.05487060546875)}}
0:00:05.127274: {Acceleration: {Time: 5080, Status: 0, Value: (0.0,0.0,0.001953125)},Gyroscope: {Time: 5045, Status: 3, Value: (-0.01171875,-0.04296875,-0.0078125)},Magnetic: {Time: 5048, Status: 2, Value: (-4.5,-26.0,-37.8125)},Gravity: {Time: 5043, Status: 3, Value: (0.4453125,-0.0703125,9.859375)}, Rotation: {Time: 5075, Status: 0, Value: (-0.02264404296875,0.00238037109375,-0.99822998046875, 0.054931640625)}}
