0:00:04.417697: {Acceleration: {Time: 4392, Status: 0, Value: (-0.001953125,0.0,0.001953125)},Gyroscope: {Time: 4401, Status: 3, Value: (0.02734375,-0.01953125,0.01171875)},Magnetic: {Time: 4363, Status: 1, Value: (-31.4375,28.9375,-16.5625)},Gravity: {Time: 4398, Status: 3, Value: (0.1640625,-0.25,9.640625)}, Rotation: {Time: 4395, Status: 0, Value: (-0.0155029296875,-0.00250244140625,-0.3968505859375, 0.917724609375)}}
0:00:04.537519: {Acceleration: {Time: 4514, Status: 0, Value: (-0.001953125,0.0,0.001953125)},Gyroscope: {Time: 4482, Status: 3, Value: (-0.01171875,-0.01953125,-0.02734375)},Magnetic: {Time: 4485, Status: 1, Value: (-31.0,29.5,-16.9375)},Gravity: {Time: 4521, Status: 3, Value: (0.1640625,-0.25,9.640625)}, Rotation: {Time: 4516, Status: 0, Value: (-0.0155029296875,-0.0025634765625,-0.39678955078125, 0.91778564453125)}}
0:00:04.636819: {Acceleration: {Time: 4618, Status: 0, Value: (0.00390625,0.0,0.0)},Gyroscope: {Time: 4592, Status: 3, Value: (-0.01171875,0.01953125,-0.03515625)},Magnetic: {Time: 4606, Status: 1, Value: (-31.125,29.5,-16.1875)},Gravity: {Time: 4588, Status: 3, Value: (0.1640625,-0.25,9.6484375)}, Rotation: {Time: 4621, Status: 0, Value: (-0.0155029296875,-0.00250244140625,-0.39678955078125, 0.91778564453125)}}
0:00:04.724142: {Acceleration: {Time: 4706, Status: 0, Value: (-0.001953125,0.0,0.0)},Gyroscope: {Time: 4677, Status: 3, Value: (-0.01171875,0.01953125,0.01171875)},Magnetic: {Time: 4680, Status: 1, Value: (-32.0625,29.625,-15.3125)},Gravity: {Time: 4674, Status: 3, Value: (0.1640625,-0.25,9.640625)}, Rotation: {Time: 4708, Status: 0, Value: (-0.01544189453125,-0.00250244140625,-0.39678955078125, 0.91778564453125)}}
0:00:04.838682: {Acceleration: {Time: 4821, Status: 0, Value: (0.001953125,0.0,0.001953125)},Gyroscope: {Time: 4795, Status: 3, Value: (-0.01171875,0.02734375,0.01171875)},Magnetic: {Time: 4809, Status: 1, Value: (-30.5,28.9375,-14.4375)},Gravity: {Time: 4792, Status: 3, Value: (0.1640625,-0.2578125,9.640625)}, Rotation: {Time: 4823, Status: 0, Value: (-0.0155029296875,-0.00244140625,-0.39678955078125, 0.91778564453125)}}
0:00:04.923553: {Acceleration: {Time: 4906, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4895, Status: 3, Value: (0.02734375,-0.046875,-0.0625)},Magnetic: {Time: 4898, Status: 1, Value: (-30.1875,29.125,-17.0625)},Gravity: {Time: 4881, Status: 3, Value: (0.1640625,-0.2578125,9.640625)}, Rotation: {Time: 4908, Status: 0, Value: (-0.0155029296875,-0.00244140625,-0.39678955078125, 0.91778564453125)}}
0:00:05.037023: {Acceleration: {Time: 5018, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 5012, Status: 3, Value: (-0.05859375,-0.046875,-0.09375)},Magnetic: {Time: 5015, Status: 1, Value: (-31.9375,30.25,-16.4375)},Gravity: {Time: 5008, Status: 3, Value: (0.171875,-0.2578125,9.6328125)}, Rotation: {Time: 5022, Status: 0, Value: (-0.0155029296875,-0.00250244140625,-0.39678955078125, 0.91778564453125)}}
0:00:05.123355: {Acceleration: {Time: 5106, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 5096, Status: 3, Value: (0.01953125,-0.01953125,-0.0625)},Magnetic: {Time: 5099, Status: 1, Value: (-31.1875,29.875,-15.75)},Gravity: {Time: 5082, Status: 3, Value: (0.171875,-0.25,9.640625)}, Rotation: {Time: 5108, Status: 0, Value: (-0.0155029296875,-0.00250244140625,-0.39678955078125, 0.91778564453125)}}
0:00:05.237982: {Acceleration: {Time: 5223, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 5184, Status: 3, Value: (0.01953125,0.06640625,0.05078125)},Magnetic: {Time: 5187, Status: 1, Value: (-30.8125,29.5625,-15.0625)},Gravity: {Time: 5181, Status: 3, Value: (0.171875,-0.2578125,9.640625)}, Rotation: {Time: 5217, Status: 0, Value: (-0.0155029296875,-0.00250244140625,-0.39678955078125, 0.91778564453125)}}
0:00:05.337465: {Acceleration: {Time: 5313, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 5322, Status: 3, Value: (-0.05859375,0.02734375,0.00390625)},Magnetic: {Time: 5281, Status: 1, Value: (-31.125,29.5,-16.1875)},Gravity: {Time: 5319, Status: 3, Value: (0.171875,-0.2578125,9.6484375)}, Rotation: {Time: 5315, Status: 0, Value: (-0.0155029296875,-0.00250244140625,-0.39678955078125, 0.91778564453125)}}
0:00:05.436588: {Acceleration: {Time: 5418, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 5392, Status: 3, Value: (0.02734375,-0.0546875,0.00390625)},Magnetic: {Time: 5406, Status: 1, Value: (-31.1875,29.875,-15.75)},Gravity: {Time: 5389, Status: 3, Value: (0.1640625,-0.25,9.6484375)}, Rotation: {Time: 5421, Status: 0, Value: (-0.0155029296875,-0.00250244140625,-0.39678955078125, 0.91778564453125)}}
0:00:05.548072: {Acceleration: {Time: 5528, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 5478, Status: 3, Value: (0.02734375,0.01953125,0.03515625)},Magnetic: {Time: 5493, Status: 1, Value: (-29.875,29.125,-16.375)},Gravity: {Time: 5533, Status: 3, Value: (0.171875,-0.25,9.65625)}, Rotation: {Time: 5531, Status: 0, Value: (-0.0155029296875,-0.00250244140625,-0.39678955078125, 0.91778564453125)}}
0:00:05.647310: {Acceleration: {Time: 5623, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 5632, Status: 3, Value: (-0.05859375,-0.01171875,0.00390625)},Magnetic: {Time: 5567, Status: 1, Value: (-30.5625,28.5,-16.6875)},Gravity: {Time: 5629, Status: 3, Value: (0.171875,-0.2578125,9.6484375)}, Rotation: {Time: 5626, Status: 0, Value: (-0.0155029296875,-0.00250244140625,-0.39678955078125, 0.91778564453125)}}
0:00:05.744453: {Acceleration: {Time: 5721, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 5729, Status: 3, Value: (-0.01953125,0.01953125,-0.03515625)},Magnetic: {Time: 5690, Status: 1, Value: (-29.9375,28.0625,-18.25)},Gravity: {Time: 5727, Status: 3, Value: (0.171875,-0.25,9.6484375)}, Rotation: {Time: 5724, Status: 0, Value: (-0.0155029296875,-0.0025634765625,-0.39678955078125, 0.91778564453125)}}
0:00:05.853317: {Acceleration: {Time: 5836, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 5830, Status: 3, Value: (-0.01953125,0.01953125,-0.03515625)},Magnetic: {Time: 5833, Status: 1, Value: (-30.75,28.9375,-15.5)},Gravity: {Time: 5826, Status: 3, Value: (0.171875,-0.25,9.6484375)}, Rotation: {Time: 5839, Status: 0, Value: (-0.0155029296875,-0.0025634765625,-0.39678955078125, 0.91778564453125)}}
0:00:05.939618: {Acceleration: {Time: 5923, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 5897, Status: 3, Value: (0.01953125,-0.0546875,0.05078125)},Magnetic: {Time: 5911, Status: 1, Value: (-30.75,29.5,-15.875)},Gravity: {Time: 5894, Status: 3, Value: (0.171875,-0.25,9.640625)}, Rotation: {Time: 5925, Status: 0, Value: (-0.0155029296875,-0.0025634765625,-0.39678955078125, 0.91778564453125)}}
