0:00:04.390763: {Acceleration: {Time: 4367, Status: 0, Value: (-0.005859375,-0.009765625,0.0)},Gyroscope: {Time: 4328, Status: 3, Value: (-0.07421875,0.08203125,0.02734375)},Magnetic: {Time: 4330, Status: 2, Value: (-3.125,-18.125,-23.625)},Gravity: {Time: 4324, Status: 3, Value: (0.34375,0.0703125,9.625)}, Rotation: {Time: 4362, Status: 0, Value: (-0.017822265625,-0.0050048828125,-0.99566650390625, 0.09130859375)}}
0:00:04.488324: {Acceleration: {Time: 4456, Status: 0, Value: (0.001953125,0.0,0.0)},Gyroscope: {Time: 4465, Status: 3, Value: (-0.0078125,0.05078125,-0.0390625)},Magnetic: {Time: 4401, Status: 2, Value: (-3.5625,-17.3125,-20.875)},Gravity: {Time: 4461, Status: 3, Value: (0.3515625,0.0625,9.6171875)}, Rotation: {Time: 4458, Status: 0, Value: (-0.017578125,-0.00537109375,-0.99566650390625, 0.09136962890625)}}
0:00:04.593266: {Acceleration: {Time: 4562, Status: 0, Value: (0.041015625,0.0234375,0.001953125)},Gyroscope: {Time: 4570, Status: 3, Value: (-0.07421875,0.19140625,-0.00390625)},Magnetic: {Time: 4556, Status: 2, Value: (-4.125,-17.25,-19.75)},Gravity: {Time: 4568, Status: 3, Value: (0.34375,0.078125,9.6171875)}, Rotation: {Time: 4564, Status: 0, Value: (-0.0172119140625,-0.005859375,-0.99554443359375, 0.09246826171875)}}
0:00:04.690405: {Acceleration: {Time: 4667, Status: 0, Value: (0.015625,0.01171875,0.0)},Gyroscope: {Time: 4628, Status: 3, Value: (-0.046875,0.0078125,-0.0859375)},Magnetic: {Time: 4630, Status: 2, Value: (-3.875,-18.25,-21.0)},Gravity: {Time: 4624, Status: 3, Value: (0.3515625,0.0703125,9.625)}, Rotation: {Time: 4662, Status: 0, Value: (-0.017333984375,-0.00567626953125,-0.99554443359375, 0.092529296875)}}
0:00:04.786035: {Acceleration: {Time: 4755, Status: 0, Value: (-0.021484375,-0.01171875,0.001953125)},Gyroscope: {Time: 4763, Status: 3, Value: (0.0,-0.0390625,0.02734375)},Magnetic: {Time: 4699, Status: 2, Value: (-2.75,-18.3125,-20.0)},Gravity: {Time: 4760, Status: 3, Value: (0.34375,0.078125,9.625)}, Rotation: {Time: 4757, Status: 0, Value: (-0.0174560546875,-0.00543212890625,-0.99554443359375, 0.09246826171875)}}
0:00:04.898580: {Acceleration: {Time: 4866, Status: 0, Value: (-0.017578125,-0.017578125,0.001953125)},Gyroscope: {Time: 4875, Status: 3, Value: (0.0,0.03515625,0.06640625)},Magnetic: {Time: 4834, Status: 2, Value: (-4.0625,-16.9375,-20.5)},Gravity: {Time: 4872, Status: 3, Value: (0.34375,0.078125,9.625)}, Rotation: {Time: 4869, Status: 0, Value: (-0.0174560546875,-0.0054931640625,-0.99554443359375, 0.09246826171875)}}
0:00:04.998841: {Acceleration: {Time: 4972, Status: 0, Value: (-0.005859375,-0.005859375,0.0)},Gyroscope: {Time: 4946, Status: 3, Value: (-0.0390625,0.04296875,-0.0859375)},Magnetic: {Time: 4960, Status: 2, Value: (-3.0625,-18.0,-21.0625)},Gravity: {Time: 4943, Status: 3, Value: (0.34375,0.0703125,9.625)}, Rotation: {Time: 4976, Status: 0, Value: (-0.017578125,-0.00537109375,-0.99554443359375, 0.09246826171875)}}
0:00:05.080516: {Acceleration: {Time: 5055, Status: 0, Value: (0.0,-0.001953125,0.0)},Gyroscope: {Time: 5035, Status: 3, Value: (0.0,0.04296875,0.02734375)},Magnetic: {Time: 5049, Status: 2, Value: (-3.125,-17.9375,-20.6875)},Gravity: {Time: 5031, Status: 3, Value: (0.34375,0.0703125,9.625)}, Rotation: {Time: 5029, Status: 0, Value: (-0.017578125,-0.00537109375,-0.99554443359375, 0.09246826171875)}}
0:00:05.194176: {Acceleration: {Time: 5169, Status: 0, Value: (0.013671875,-0.001953125,0.001953125)},Gyroscope: {Time: 5143, Status: 3, Value: (-0.0390625,0.02734375,0.02734375)},Magnetic: {Time: 5157, Status: 2, Value: (-4.0625,-17.5625,-20.125)},Gravity: {Time: 5140, Status: 3, Value: (0.34375,0.0859375,9.625)}, Rotation: {Time: 5171, Status: 0, Value: (-0.01739501953125,-0.00555419921875,-0.99554443359375, 0.09234619140625)}}
0:00:05.280415: {Acceleration: {Time: 5247, Status: 0, Value: (-0.015625,-0.009765625,0.0)},Gyroscope: {Time: 5257, Status: 3, Value: (0.0078125,-0.015625,-0.01171875)},Magnetic: {Time: 5221, Status: 2, Value: (-4.875,-17.8125,-19.6875)},Gravity: {Time: 5255, Status: 3, Value: (0.3359375,0.09375,9.625)}, Rotation: {Time: 5250, Status: 0, Value: (-0.01715087890625,-0.005859375,-0.99554443359375, 0.0924072265625)}}
