0:00:05.482457: {Acceleration: {Time: 4871, Status: 0, Value: (0.0,-0.005859375,0.001953125)},Gyroscope: {Time: 4831, Status: 3, Value: (-0.140625,-0.01171875,-0.04296875)},Magnetic: {Time: 4834, Status: 2, Value: (-0.125,-17.75,37.4375)},Gravity: {Time: 4828, Status: 3, Value: (0.140625,-0.5234375,-10.03125)}, Rotation: {Time: 4866, Status: 2, Value: (-0.99957275390625,-0.0118408203125,-0.0042724609375, 0.02642822265625)}}
0:00:05.641162: {Acceleration: {Time: 5029, Status: 0, Value: (0.0,0.0,-0.001953125)},Gyroscope: {Time: 4988, Status: 3, Value: (-0.1015625,0.0625,-0.00390625)},Magnetic: {Time: 4991, Status: 2, Value: (-0.875,-17.4375,38.0)},Gravity: {Time: 4973, Status: 3, Value: (0.140625,-0.5234375,-10.03125)}, Rotation: {Time: 5025, Status: 2, Value: (-0.99957275390625,-0.011962890625,-0.00439453125, 0.02642822265625)}}
0:00:05.726213: {Acceleration: {Time: 5116, Status: 0, Value: (0.0,-0.00390625,0.001953125)},Gyroscope: {Time: 5124, Status: 3, Value: (-0.09375,0.02734375,-0.00390625)},Magnetic: {Time: 5062, Status: 2, Value: (0.0,-16.75,35.75)},Gravity: {Time: 5121, Status: 3, Value: (0.1328125,-0.5234375,-10.03125)}, Rotation: {Time: 5119, Status: 2, Value: (-0.99957275390625,-0.011962890625,-0.00433349609375, 0.0263671875)}}
0:00:05.825679: {Acceleration: {Time: 5212, Status: 0, Value: (0.001953125,-0.00390625,0.001953125)},Gyroscope: {Time: 5221, Status: 3, Value: (-0.0859375,0.02734375,-0.00390625)},Magnetic: {Time: 5159, Status: 2, Value: (-0.875,-17.75,38.375)},Gravity: {Time: 5217, Status: 3, Value: (0.125,-0.5234375,-10.03125)}, Rotation: {Time: 5214, Status: 2, Value: (-0.99957275390625,-0.0120849609375,-0.00421142578125, 0.0263671875)}}
0:00:05.972534: {Acceleration: {Time: 5361, Status: 0, Value: (0.009765625,0.03125,-0.001953125)},Gyroscope: {Time: 5369, Status: 3, Value: (-0.125,0.0625,0.109375)},Magnetic: {Time: 5305, Status: 2, Value: (-0.1875,-18.8125,38.75)},Gravity: {Time: 5366, Status: 3, Value: (0.125,-0.5234375,-10.03125)}, Rotation: {Time: 5363, Status: 2, Value: (-0.99957275390625,-0.01214599609375,-0.0042724609375, 0.0264892578125)}}
0:00:06.065512: {Acceleration: {Time: 5459, Status: 0, Value: (-0.001953125,0.0078125,-0.001953125)},Gyroscope: {Time: 5452, Status: 3, Value: (-0.078125,0.02734375,-0.01171875)},Magnetic: {Time: 5455, Status: 2, Value: (-0.4375,-17.75,37.5)},Gravity: {Time: 5448, Status: 3, Value: (0.1171875,-0.5234375,-10.0234375)}, Rotation: {Time: 5462, Status: 2, Value: (-0.99957275390625,-0.01220703125,-0.0045166015625, 0.0264892578125)}}
0:00:06.173531: {Acceleration: {Time: 5558, Status: 0, Value: (0.0,-0.001953125,0.001953125)},Gyroscope: {Time: 5521, Status: 3, Value: (-0.1171875,0.0625,-0.05078125)},Magnetic: {Time: 5523, Status: 2, Value: (0.1875,-17.4375,38.3125)},Gravity: {Time: 5518, Status: 3, Value: (0.1171875,-0.5234375,-10.0234375)}, Rotation: {Time: 5555, Status: 2, Value: (-0.99957275390625,-0.01220703125,-0.0045166015625, 0.0264892578125)}}
0:00:06.268525: {Acceleration: {Time: 5651, Status: 0, Value: (0.0,-0.001953125,0.0)},Gyroscope: {Time: 5660, Status: 3, Value: (-0.109375,0.0546875,-0.01171875)},Magnetic: {Time: 5619, Status: 2, Value: (0.125,-18.125,38.75)},Gravity: {Time: 5657, Status: 3, Value: (0.109375,-0.515625,-10.0234375)}, Rotation: {Time: 5654, Status: 2, Value: (-0.99957275390625,-0.01214599609375,-0.00445556640625, 0.0264892578125)}}
0:00:06.364508: {Acceleration: {Time: 5751, Status: 0, Value: (0.0,0.005859375,-0.001953125)},Gyroscope: {Time: 5744, Status: 3, Value: (-0.0703125,0.01953125,-0.05078125)},Magnetic: {Time: 5746, Status: 2, Value: (0.5625,-17.4375,37.875)},Gravity: {Time: 5740, Status: 3, Value: (0.109375,-0.515625,-10.0234375)}, Rotation: {Time: 5754, Status: 2, Value: (-0.99957275390625,-0.01220703125,-0.00469970703125, 0.0264892578125)}}
0:00:06.454525: {Acceleration: {Time: 5853, Status: 0, Value: (0.00390625,-0.00390625,-0.001953125)},Gyroscope: {Time: 5823, Status: 3, Value: (-0.0703125,0.0546875,-0.08984375)},Magnetic: {Time: 5838, Status: 2, Value: (0.5,-17.4375,38.75)},Gravity: {Time: 5821, Status: 3, Value: (0.109375,-0.515625,-10.0234375)}, Rotation: {Time: 5848, Status: 2, Value: (-0.99957275390625,-0.01214599609375,-0.004638671875, 0.0264892578125)}}
0:00:06.553646: {Acceleration: {Time: 5941, Status: 0, Value: (0.00390625,0.00390625,0.005859375)},Gyroscope: {Time: 5951, Status: 3, Value: (0.015625,0.015625,0.109375)},Magnetic: {Time: 5886, Status: 2, Value: (0.5625,-16.8125,37.875)},Gravity: {Time: 5947, Status: 3, Value: (0.0234375,-0.4765625,-10.03125)}, Rotation: {Time: 5944, Status: 2, Value: (-0.99957275390625,-0.01214599609375,-0.00439453125, 0.0264892578125)}}
0:00:06.651793: {Acceleration: {Time: 6047, Status: 0, Value: (0.001953125,-0.005859375,0.001953125)},Gyroscope: {Time: 6017, Status: 3, Value: (0.08203125,0.0390625,-0.18359375)},Magnetic: {Time: 6021, Status: 2, Value: (0.625,-17.0625,37.0)},Gravity: {Time: 6015, Status: 3, Value: (0.03125,-0.4609375,-9.9296875)}, Rotation: {Time: 6051, Status: 2, Value: (-0.99957275390625,-0.01190185546875,-0.00445556640625, 0.0264892578125)}}
