0:00:04.437551: {Acceleration: {Time: 4390, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4399, Status: 3, Value: (-0.01953125,-0.01171875,0.00390625)},Magnetic: {Time: 4335, Status: 1, Value: (-27.75,28.0,-16.75)},Gravity: {Time: 4397, Status: 3, Value: (0.171875,-0.2578125,9.6484375)}, Rotation: {Time: 4392, Status: 0, Value: (-0.015380859375,-0.00323486328125,-0.3836669921875, 0.92333984375)}}
0:00:04.536620: {Acceleration: {Time: 4495, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4469, Status: 3, Value: (0.01953125,-0.01171875,-0.04296875)},Magnetic: {Time: 4483, Status: 1, Value: (-28.6875,28.4375,-15.5)},Gravity: {Time: 4465, Status: 3, Value: (0.171875,-0.2578125,9.65625)}, Rotation: {Time: 4498, Status: 0, Value: (-0.0157470703125,-0.00311279296875,-0.3836669921875, 0.92333984375)}}
0:00:04.643571: {Acceleration: {Time: 4603, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4596, Status: 3, Value: (-0.01953125,-0.01171875,-0.03515625)},Magnetic: {Time: 4599, Status: 1, Value: (-28.25,27.6875,-15.9375)},Gravity: {Time: 4593, Status: 3, Value: (0.171875,-0.2578125,9.6484375)}, Rotation: {Time: 4605, Status: 0, Value: (-0.0157470703125,-0.0030517578125,-0.38604736328125, 0.92236328125)}}
0:00:04.756239: {Acceleration: {Time: 4714, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4708, Status: 3, Value: (0.01953125,-0.01953125,0.00390625)},Magnetic: {Time: 4711, Status: 1, Value: (-29.0625,29.125,-16.1875)},Gravity: {Time: 4704, Status: 3, Value: (0.171875,-0.25,9.6484375)}, Rotation: {Time: 4718, Status: 0, Value: (-0.015380859375,-0.00323486328125,-0.3861083984375, 0.92230224609375)}}
0:00:04.843471: {Acceleration: {Time: 4803, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4792, Status: 3, Value: (-0.01953125,-0.01171875,0.00390625)},Magnetic: {Time: 4795, Status: 1, Value: (-28.6875,28.125,-15.5)},Gravity: {Time: 4778, Status: 3, Value: (0.171875,-0.2578125,9.6484375)}, Rotation: {Time: 4805, Status: 0, Value: (-0.0157470703125,-0.0030517578125,-0.38604736328125, 0.92230224609375)}}
0:00:04.959048: {Acceleration: {Time: 4918, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4912, Status: 3, Value: (-0.01953125,0.02734375,0.00390625)},Magnetic: {Time: 4914, Status: 1, Value: (-27.375,27.375,-16.0625)},Gravity: {Time: 4909, Status: 3, Value: (0.171875,-0.2578125,9.6484375)}, Rotation: {Time: 4921, Status: 0, Value: (-0.0157470703125,-0.00311279296875,-0.38409423828125, 0.92315673828125)}}
0:00:05.046489: {Acceleration: {Time: 4999, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 5008, Status: 3, Value: (0.01953125,-0.01171875,0.00390625)},Magnetic: {Time: 4968, Status: 1, Value: (-29.4375,28.8125,-16.125)},Gravity: {Time: 5005, Status: 3, Value: (0.171875,-0.2578125,9.6484375)}, Rotation: {Time: 5002, Status: 0, Value: (-0.0157470703125,-0.00311279296875,-0.38409423828125, 0.92315673828125)}}
0:00:05.141214: {Acceleration: {Time: 5101, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 5080, Status: 3, Value: (-0.01953125,0.02734375,-0.03515625)},Magnetic: {Time: 5094, Status: 1, Value: (-28.0,27.3125,-17.5)},Gravity: {Time: 5078, Status: 3, Value: (0.171875,-0.2578125,9.6484375)}, Rotation: {Time: 5075, Status: 0, Value: (-0.0157470703125,-0.00311279296875,-0.38409423828125, 0.92315673828125)}}
0:00:05.255573: {Acceleration: {Time: 5214, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 5176, Status: 3, Value: (0.01953125,-0.01171875,0.00390625)},Magnetic: {Time: 5179, Status: 1, Value: (-28.3125,28.4375,-15.5)},Gravity: {Time: 5162, Status: 3, Value: (0.171875,-0.2578125,9.6484375)}, Rotation: {Time: 5218, Status: 0, Value: (-0.0157470703125,-0.00311279296875,-0.38323974609375, 0.92352294921875)}}
0:00:05.341880: {Acceleration: {Time: 5302, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 5246, Status: 3, Value: (-0.01953125,-0.01171875,-0.03515625)},Magnetic: {Time: 5260, Status: 1, Value: (-27.75,29.0,-17.0)},Gravity: {Time: 5244, Status: 3, Value: (0.171875,-0.2578125,9.6484375)}, Rotation: {Time: 5304, Status: 0, Value: (-0.0157470703125,-0.00311279296875,-0.38348388671875, 0.92340087890625)}}
