0:00:16.429709: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 1.5414283107572988e-44, Phase: 51226.93359375
0:00:16.536062: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 1.5414283107572988e-44, Phase: 51227.59765625
0:00:16.634057: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 1.5414283107572988e-44, Phase: 51228.2109375
0:00:16.746704: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 1.5414283107572988e-44, Phase: 51228.91796875
0:00:16.842143: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 1.5414283107572988e-44, Phase: 51229.51953125
0:00:16.938536: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 1.5414283107572988e-44, Phase: 51230.125
0:00:17.034171: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 1.5414283107572988e-44, Phase: 51230.7265625
0:00:17.133152: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 1.5414283107572988e-44, Phase: 51231.34765625
0:00:17.252970: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 1.5414283107572988e-44, Phase: 51232.1015625
0:00:17.339399: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 1.5414283107572988e-44, Phase: 51232.640625
0:00:17.457103: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 1.5414283107572988e-44, Phase: 51233.3828125
0:00:17.543362: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 1.5414283107572988e-44, Phase: 51233.92578125
0:00:17.637365: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 1.5414283107572988e-44, Phase: 51234.515625
0:00:17.754028: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 1.5414283107572988e-44, Phase: 51235.24609375
0:00:17.841390: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 1.5414283107572988e-44, Phase: 51235.796875
0:00:17.949459: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 1.5414283107572988e-44, Phase: 51236.4765625
0:00:18.063250: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 1.5414283107572988e-44, Phase: 51237.19140625
0:00:18.163872: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 1.5414283107572988e-44, Phase: 51237.82421875
0:00:18.267010: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 1.5414283107572988e-44, Phase: 51238.47265625
0:00:18.364524: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 1.5414283107572988e-44, Phase: 51239.08984375
0:00:18.451043: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 1.5414283107572988e-44, Phase: 51239.625
0:00:18.557073: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 1.5414283107572988e-44, Phase: 51240.2890625
0:00:18.653482: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 1.5414283107572988e-44, Phase: 51240.89453125
0:00:18.765223: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 1.5414283107572988e-44, Phase: 51241.59765625
0:00:18.847438: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 1.5414283107572988e-44, Phase: 51242.11328125
0:00:18.955463: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 1.5414283107572988e-44, Phase: 51242.7890625
0:00:19.070164: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 1.5414283107572988e-44, Phase: 51243.51171875
0:00:19.156560: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 1.5414283107572988e-44, Phase: 51244.05078125
0:00:19.253753: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 1.5414283107572988e-44, Phase: 51244.66796875
