0:00:14.514812: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: -2.1019476964872256e-44, Phase: 51214.8984375
0:00:14.613313: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: -1.961817850054744e-44, Phase: 51215.51953125
0:00:14.716733: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: -1.961817850054744e-44, Phase: 51216.1640625
0:00:14.833486: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: -1.961817850054744e-44, Phase: 51216.8984375
0:00:14.922834: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: -1.961817850054744e-44, Phase: 51217.4609375
0:00:15.022023: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: -1.8216880036222622e-44, Phase: 51218.0859375
0:00:15.136761: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: -1.8216880036222622e-44, Phase: 51218.80859375
0:00:15.225360: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: -1.8216880036222622e-44, Phase: 51219.359375
0:00:15.338926: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: -1.8216880036222622e-44, Phase: 51220.07421875
0:00:15.417538: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: -1.8216880036222622e-44, Phase: 51220.5703125
0:00:15.542326: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: -1.6815581571897805e-44, Phase: 51221.359375
0:00:15.641856: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: -1.5414283107572988e-44, Phase: 51221.98046875
0:00:15.728248: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: -1.5414283107572988e-44, Phase: 51222.52734375
0:00:15.843940: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: -1.5414283107572988e-44, Phase: 51223.2578125
0:00:15.930263: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: -1.5414283107572988e-44, Phase: 51223.796875
0:00:16.043968: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.15949413180351257, Phase: 51224.51171875
0:00:16.130313: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.31974682211875916, Phase: 51225.05078125
0:00:16.244215: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.5838547348976135, Phase: 51225.765625
0:00:16.343249: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.9350231289863586, Phase: 51226.3984375
0:00:16.429630: Frequency: 0.0, Amplitude: 0.0, Offset: 90.0, Phase Shift: 1.2424160242080688, Phase: 51226.93359375
