0:00:04.662460: {Acceleration: {Time: 4639, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4599, Status: 3, Value: (-0.00390625,0.01953125,0.00390625)},Magnetic: {Time: 4603, Status: 1, Value: (-30.0625,28.4375,-17.625)},Gravity: {Time: 4596, Status: 3, Value: (0.15625,-0.25,9.6484375)}, Rotation: {Time: 4633, Status: 0, Value: (-0.01519775390625,-0.00238037109375,-0.3995361328125, 0.91656494140625)}}
0:00:04.789162: {Acceleration: {Time: 4763, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4737, Status: 3, Value: (-0.01171875,-0.01171875,0.00390625)},Magnetic: {Time: 4751, Status: 1, Value: (-31.3125,28.875,-17.125)},Gravity: {Time: 4734, Status: 3, Value: (0.1640625,-0.2578125,9.6484375)}, Rotation: {Time: 4765, Status: 0, Value: (-0.01519775390625,-0.00238037109375,-0.3995361328125, 0.91656494140625)}}
0:00:04.874477: {Acceleration: {Time: 4843, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4851, Status: 3, Value: (0.03515625,-0.01171875,-0.03515625)},Magnetic: {Time: 4788, Status: 1, Value: (-32.25,28.3125,-16.25)},Gravity: {Time: 4848, Status: 3, Value: (0.15625,-0.2578125,9.6484375)}, Rotation: {Time: 4845, Status: 0, Value: (-0.01519775390625,-0.00238037109375,-0.3995361328125, 0.91656494140625)}}
0:00:04.967561: {Acceleration: {Time: 4944, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4908, Status: 3, Value: (-0.01171875,0.02734375,-0.03515625)},Magnetic: {Time: 4911, Status: 1, Value: (-29.4375,28.4375,-16.1875)},Gravity: {Time: 4904, Status: 3, Value: (0.1640625,-0.2578125,9.6484375)}, Rotation: {Time: 4941, Status: 0, Value: (-0.01519775390625,-0.00238037109375,-0.3995361328125, 0.91656494140625)}}
0:00:05.082010: {Acceleration: {Time: 5059, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 5048, Status: 3, Value: (-0.01171875,-0.01953125,0.00390625)},Magnetic: {Time: 5050, Status: 1, Value: (-30.0625,28.9375,-14.5625)},Gravity: {Time: 5044, Status: 3, Value: (0.1640625,-0.25,9.6484375)}, Rotation: {Time: 5052, Status: 0, Value: (-0.01519775390625,-0.00238037109375,-0.3995361328125, 0.91656494140625)}}
0:00:05.178885: {Acceleration: {Time: 5155, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 5146, Status: 3, Value: (-0.01171875,-0.01953125,0.00390625)},Magnetic: {Time: 5150, Status: 1, Value: (-30.1875,27.8125,-16.125)},Gravity: {Time: 5143, Status: 3, Value: (0.1640625,-0.25,9.6484375)}, Rotation: {Time: 5152, Status: 0, Value: (-0.01519775390625,-0.00238037109375,-0.3995361328125, 0.91656494140625)}}
0:00:05.284699: {Acceleration: {Time: 5261, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 5248, Status: 3, Value: (-0.00390625,-0.01953125,-0.03515625)},Magnetic: {Time: 5251, Status: 1, Value: (-30.375,29.5,-16.0625)},Gravity: {Time: 5234, Status: 3, Value: (0.15625,-0.25,9.6484375)}, Rotation: {Time: 5258, Status: 0, Value: (-0.01519775390625,-0.00238037109375,-0.3995361328125, 0.91656494140625)}}
0:00:05.381118: {Acceleration: {Time: 5355, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 5319, Status: 3, Value: (-0.00390625,-0.01953125,0.01171875)},Magnetic: {Time: 5295, Status: 1, Value: (-29.25,28.6875,-17.6875)},Gravity: {Time: 5315, Status: 3, Value: (0.15625,-0.25,9.640625)}, Rotation: {Time: 5358, Status: 0, Value: (-0.01519775390625,-0.00238037109375,-0.3995361328125, 0.91656494140625)}}
0:00:05.493599: {Acceleration: {Time: 5468, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 5460, Status: 3, Value: (-0.00390625,-0.01953125,-0.02734375)},Magnetic: {Time: 5463, Status: 1, Value: (-30.5,27.8125,-16.5)},Gravity: {Time: 5457, Status: 3, Value: (0.15625,-0.25,9.640625)}, Rotation: {Time: 5470, Status: 0, Value: (-0.01519775390625,-0.00238037109375,-0.3995361328125, 0.91656494140625)}}
0:00:05.580921: {Acceleration: {Time: 5549, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 5558, Status: 3, Value: (-0.01171875,-0.01953125,0.01171875)},Magnetic: {Time: 5517, Status: 1, Value: (-30.375,29.5,-16.0625)},Gravity: {Time: 5555, Status: 3, Value: (0.1640625,-0.25,9.640625)}, Rotation: {Time: 5551, Status: 0, Value: (-0.01519775390625,-0.00238037109375,-0.3995361328125, 0.91656494140625)}}
