0:00:04.401125 {Acceleration: {Time: 4382, Status: 0, Value: (0.001953125,-0.001953125,0.0)},Gyroscope: {Time: 4349, Status: 3, Value: (-0.01953125,-0.01171875,-0.03515625)},Magnetic: {Time: 4323, Status: 1, Value: (-28.75,29.4375,-15.4375)},Gravity: {Time: 4345, Status: 3, Value: (0.171875,-0.2578125,9.6484375)}, Rotation: {Time: 4378, Status: 0, Value: (-0.0157470703125,-0.0030517578125,-0.38385009765625, 0.92327880859375)}}
0:00:04.497612 {Acceleration: {Time: 4469, Status: 0, Value: (0.001953125,-0.00390625,0.0)},Gyroscope: {Time: 4478, Status: 3, Value: (-0.01953125,-0.01171875,0.00390625)},Magnetic: {Time: 4416, Status: 1, Value: (-28.9375,28.0625,-16.625)},Gravity: {Time: 4475, Status: 3, Value: (0.171875,-0.2578125,9.6484375)}, Rotation: {Time: 4471, Status: 0, Value: (-0.01580810546875,-0.00299072265625,-0.39312744140625, 0.9193115234375)}}
0:00:04.598055 {Acceleration: {Time: 4570, Status: 0, Value: (-0.001953125,0.001953125,0.0)},Gyroscope: {Time: 4579, Status: 3, Value: (0.01953125,0.02734375,0.00390625)},Magnetic: {Time: 4538, Status: 1, Value: (-28.625,27.75,-15.5)},Gravity: {Time: 4575, Status: 3, Value: (0.171875,-0.2578125,9.6484375)}, Rotation: {Time: 4572, Status: 0, Value: (-0.0157470703125,-0.0029296875,-0.39312744140625, 0.91937255859375)}}
0:00:04.698365 {Acceleration: {Time: 4676, Status: 0, Value: (-0.001953125,0.0,-0.001953125)},Gyroscope: {Time: 4635, Status: 3, Value: (-0.01953125,-0.01171875,0.00390625)},Magnetic: {Time: 4639, Status: 1, Value: (-27.625,28.125,-14.5)},Gravity: {Time: 4621, Status: 3, Value: (0.171875,-0.2578125,9.6484375)}, Rotation: {Time: 4679, Status: 0, Value: (-0.01580810546875,-0.0030517578125,-0.38916015625, 0.9210205078125)}}
0:00:04.809037 {Acceleration: {Time: 4787, Status: 0, Value: (0.001953125,0.0,-0.001953125)},Gyroscope: {Time: 4781, Status: 3, Value: (0.01953125,-0.01171875,0.00390625)},Magnetic: {Time: 4784, Status: 1, Value: (-30.0625,29.875,-15.25)},Gravity: {Time: 4777, Status: 3, Value: (0.171875,-0.2578125,9.6484375)}, Rotation: {Time: 4790, Status: 0, Value: (-0.0157470703125,-0.00299072265625,-0.38916015625, 0.9210205078125)}}
0:00:04.898263 {Acceleration: {Time: 4876, Status: 0, Value: (-0.001953125,-0.001953125,0.0)},Gyroscope: {Time: 4850, Status: 3, Value: (0.05859375,-0.01171875,0.04296875)},Magnetic: {Time: 4864, Status: 1, Value: (-27.5625,28.0625,-14.875)},Gravity: {Time: 4846, Status: 3, Value: (0.171875,-0.2578125,9.6484375)}, Rotation: {Time: 4879, Status: 0, Value: (-0.0157470703125,-0.0030517578125,-0.38916015625, 0.9210205078125)}}
0:00:05.010895 {Acceleration: {Time: 4989, Status: 0, Value: (-0.001953125,0.001953125,0.0)},Gyroscope: {Time: 4963, Status: 3, Value: (0.01953125,-0.01171875,0.00390625)},Magnetic: {Time: 4977, Status: 1, Value: (-28.125,28.5,-14.0)},Gravity: {Time: 4961, Status: 3, Value: (0.171875,-0.2578125,9.6484375)}, Rotation: {Time: 4992, Status: 0, Value: (-0.0157470703125,-0.00299072265625,-0.38916015625, 0.9210205078125)}}
0:00:05.093782 {Acceleration: {Time: 5075, Status: 0, Value: (0.00390625,-0.001953125,-0.001953125)},Gyroscope: {Time: 5011, Status: 3, Value: (-0.01953125,0.02734375,0.00390625)},Magnetic: {Time: 5015, Status: 1, Value: (-28.625,27.5,-15.1875)},Gravity: {Time: 5008, Status: 3, Value: (0.171875,-0.2578125,9.6484375)}, Rotation: {Time: 5071, Status: 0, Value: (-0.0157470703125,-0.00299072265625,-0.38916015625, 0.9210205078125)}}
0:00:05.218559 {Acceleration: {Time: 5191, Status: 0, Value: (0.00390625,0.0,0.0)},Gyroscope: {Time: 5200, Status: 3, Value: (0.01953125,0.02734375,-0.03515625)},Magnetic: {Time: 5156, Status: 1, Value: (-29.375,28.125,-16.1875)},Gravity: {Time: 5196, Status: 3, Value: (0.171875,-0.2578125,9.6484375)}, Rotation: {Time: 5193, Status: 0, Value: (-0.0157470703125,-0.0029296875,-0.39385986328125, 0.91900634765625)}}
0:00:05.311271 {Acceleration: {Time: 5287, Status: 0, Value: (-0.001953125,-0.001953125,0.0)},Gyroscope: {Time: 5293, Status: 3, Value: (-0.01953125,-0.01171875,-0.03515625)},Magnetic: {Time: 5231, Status: 1, Value: (-27.3125,27.9375,-16.8125)},Gravity: {Time: 5290, Status: 3, Value: (0.171875,-0.2578125,9.6484375)}, Rotation: {Time: 5284, Status: 0, Value: (-0.01580810546875,-0.0029296875,-0.39385986328125, 0.91900634765625)}}
