0:00:04.103816 {Acceleration: {Time: 4074, Status: 0, Value: (2.234375,0.142578125,0.61328125)},Gyroscope: {Time: 3936, Status: 3, Value: (0.07421875,0.9140625,1.5859375)},Magnetic: {Time: 4013, Status: 2, Value: (28.9375,-3.0,-9.9375)},Gravity: {Time: 4077, Status: 3, Value: (-9.40625,1.3046875,-1.234375)}, Rotation: {Time: 4071, Status: 1, Value: (0.5633544921875,0.4923095703125,-0.43896484375, 0.49755859375)}}
0:00:04.213348 {Acceleration: {Time: 4177, Status: 0, Value: (2.435546875,0.26953125,0.607421875)},Gyroscope: {Time: 4137, Status: 3, Value: (0.625,-0.77734375,-0.33203125)},Magnetic: {Time: 4140, Status: 2, Value: (28.4375,-8.1875,-7.3125)},Gravity: {Time: 4123, Status: 3, Value: (-9.359375,1.4296875,-1.4296875)}, Rotation: {Time: 4180, Status: 1, Value: (0.64593505859375,0.4091796875,-0.480224609375, 0.42987060546875)}}
0:00:04.275656 {Acceleration: {Time: 4252, Status: 0, Value: (1.078125,0.236328125,0.0546875)},Gyroscope: {Time: 4241, Status: 3, Value: (0.2109375,-2.58984375,-0.66796875)},Magnetic: {Time: 4245, Status: 2, Value: (27.1875,-13.0,-2.8125)},Gravity: {Time: 4238, Status: 3, Value: (-9.25,1.6328125,-1.9375)}, Rotation: {Time: 4247, Status: 1, Value: (0.67486572265625,0.37823486328125,-0.492431640625, 0.3988037109375)}}
0:00:04.385223 {Acceleration: {Time: 4343, Status: 0, Value: (-1.337890625,-0.029296875,0.091796875)},Gyroscope: {Time: 4351, Status: 3, Value: (0.30078125,-1.77734375,-0.4921875)},Magnetic: {Time: 4287, Status: 2, Value: (27.625,-12.375,-0.3125)},Gravity: {Time: 4348, Status: 3, Value: (-9.1875,1.546875,-2.2265625)}, Rotation: {Time: 4345, Status: 1, Value: (0.6854248046875,0.37908935546875,-0.48779296875, 0.38543701171875)}}
0:00:04.479000 {Acceleration: {Time: 4441, Status: 0, Value: (0.119140625,-0.234375,0.009765625)},Gyroscope: {Time: 4434, Status: 3, Value: (-0.88671875,0.00390625,-0.61328125)},Magnetic: {Time: 4437, Status: 2, Value: (27.3125,-12.6875,-3.9375)},Gravity: {Time: 4431, Status: 3, Value: (-9.1875,1.8359375,-1.953125)}, Rotation: {Time: 4444, Status: 1, Value: (0.66552734375,0.38751220703125,-0.47747802734375, 0.42303466796875)}}
0:00:04.572564 {Acceleration: {Time: 4535, Status: 0, Value: (1.17578125,-0.708984375,0.5234375)},Gyroscope: {Time: 4528, Status: 3, Value: (-0.265625,0.25,0.15234375)},Magnetic: {Time: 4531, Status: 2, Value: (26.875,-14.25,-6.0625)},Gravity: {Time: 4525, Status: 3, Value: (-9.1953125,2.1640625,-1.53125)}, Rotation: {Time: 4537, Status: 1, Value: (0.66827392578125,0.35552978515625,-0.4891357421875, 0.43328857421875)}}
0:00:04.666474 {Acceleration: {Time: 4634, Status: 0, Value: (0.4140625,-0.193359375,0.001953125)},Gyroscope: {Time: 4597, Status: 3, Value: (0.23046875,0.0625,-0.109375)},Magnetic: {Time: 4599, Status: 2, Value: (26.625,-16.5,-6.375)},Gravity: {Time: 4594, Status: 3, Value: (-9.1953125,2.2734375,-1.3828125)}, Rotation: {Time: 4631, Status: 1, Value: (0.68121337890625,0.32513427734375,-0.5072021484375, 0.4158935546875)}}
0:00:04.760063 {Acceleration: {Time: 4723, Status: 0, Value: (0.34375,0.048828125,-0.037109375)},Gyroscope: {Time: 4731, Status: 3, Value: (-0.3125,-0.0078125,-0.07421875)},Magnetic: {Time: 4667, Status: 2, Value: (26.4375,-15.875,-5.25)},Gravity: {Time: 4728, Status: 3, Value: (-9.2265625,2.078125,-1.3828125)}, Rotation: {Time: 4725, Status: 1, Value: (0.68377685546875,0.318359375,-0.5189208984375, 0.40228271484375)}}
0:00:04.869595 {Acceleration: {Time: 4833, Status: 0, Value: (-0.0546875,-0.1640625,-0.0703125)},Gyroscope: {Time: 4803, Status: 3, Value: (-0.51171875,-0.32421875,-0.1328125)},Magnetic: {Time: 4817, Status: 2, Value: (25.25,-14.5,-2.875)},Gravity: {Time: 4801, Status: 3, Value: (-9.21875,2.046875,-1.515625)}, Rotation: {Time: 4836, Status: 1, Value: (0.6898193359375,0.31610107421875,-0.51922607421875, 0.3931884765625)}}
0:00:04.964173 {Acceleration: {Time: 4924, Status: 0, Value: (-0.267578125,-0.15234375,0.1015625)},Gyroscope: {Time: 4896, Status: 3, Value: (0.2109375,0.3359375,0.44921875)},Magnetic: {Time: 4898, Status: 2, Value: (25.5,-15.8125,-4.75)},Gravity: {Time: 4932, Status: 3, Value: (-9.2578125,1.9765625,-1.3515625)}, Rotation: {Time: 4927, Status: 1, Value: (0.681396484375,0.32012939453125,-0.52264404296875, 0.40008544921875)}}
0:00:05.058701 {Acceleration: {Time: 5023, Status: 0, Value: (-0.072265625,-0.052734375,0.150390625)},Gyroscope: {Time: 5002, Status: 3, Value: (-0.02734375,-0.1640625,-0.02734375)},Magnetic: {Time: 5016, Status: 2, Value: (25.3125,-15.5,-5.875)},Gravity: {Time: 4999, Status: 3, Value: (-9.2421875,2.078125,-1.3125)}, Rotation: {Time: 4997, Status: 1, Value: (0.681396484375,0.3167724609375,-0.52130126953125, 0.40447998046875)}}
0:00:05.154464 {Acceleration: {Time: 5115, Status: 0, Value: (-0.65234375,-0.28515625,-0.15234375)},Gyroscope: {Time: 5124, Status: 3, Value: (-0.25,-0.9296875,0.0078125)},Magnetic: {Time: 5060, Status: 2, Value: (25.4375,-17.6875,-5.875)},Gravity: {Time: 5122, Status: 3, Value: (-9.25,2.15625,-1.1171875)}, Rotation: {Time: 5118, Status: 1, Value: (0.67236328125,0.3199462890625,-0.5201416015625, 0.41839599609375)}}
0:00:05.248022 {Acceleration: {Time: 5219, Status: 0, Value: (-1.984375,-1.775390625,0.66015625)},Gyroscope: {Time: 5182, Status: 3, Value: (-0.02734375,-1.6875,0.15625)},Magnetic: {Time: 5185, Status: 2, Value: (25.25,-16.125,-8.375)},Gravity: {Time: 5178, Status: 3, Value: (-9.28125,2.1484375,-0.8828125)}, Rotation: {Time: 5216, Status: 1, Value: (0.63433837890625,0.326416015625,-0.523681640625, 0.46563720703125)}}
0:00:05.326319 {Acceleration: {Time: 5314, Status: 0, Value: (-3.509765625,-2.34765625,1.701171875)},Gyroscope: {Time: 5282, Status: 3, Value: (1.31640625,-3.0390625,0.4609375)},Magnetic: {Time: 5284, Status: 2, Value: (21.1875,-13.0625,-16.3125)},Gravity: {Time: 5279, Status: 3, Value: (-9.09375,2.734375,1.0703125)}, Rotation: {Time: 5310, Status: 1, Value: (0.530517578125,0.30810546875,-0.51031494140625, 0.6026611328125)}}
