0:00:04.937449: {Acceleration: {Time: 4902, Status: 0, Value: (0.001953125,0.0,-0.001953125)},Gyroscope: {Time: 4861, Status: 3, Value: (-0.01171875,-0.03515625,0.00390625)},Magnetic: {Time: 4864, Status: 1, Value: (-28.75,29.4375,-15.625)},Gravity: {Time: 4906, Status: 3, Value: (0.1640625,-0.2421875,9.65625)}, Rotation: {Time: 4898, Status: 0, Value: (-0.015380859375,-0.00311279296875,-0.38812255859375, 0.92144775390625)}}
0:00:05.054821: {Acceleration: {Time: 5012, Status: 0, Value: (0.0,0.001953125,-0.001953125)},Gyroscope: {Time: 5018, Status: 3, Value: (-0.01171875,-0.03515625,-0.04296875)},Magnetic: {Time: 5021, Status: 1, Value: (-29.4375,28.125,-16.0)},Gravity: {Time: 5015, Status: 3, Value: (0.1640625,-0.234375,9.65625)}, Rotation: {Time: 5023, Status: 0, Value: (-0.01531982421875,-0.003173828125,-0.38812255859375, 0.92144775390625)}}
0:00:05.143527: {Acceleration: {Time: 5109, Status: 0, Value: (0.0,0.001953125,0.0)},Gyroscope: {Time: 5070, Status: 3, Value: (0.02734375,0.00390625,-0.00390625)},Magnetic: {Time: 5073, Status: 1, Value: (-27.875,27.125,-15.0625)},Gravity: {Time: 5056, Status: 3, Value: (0.1640625,-0.234375,9.65625)}, Rotation: {Time: 5112, Status: 0, Value: (-0.01531982421875,-0.003173828125,-0.38812255859375, 0.9215087890625)}}
0:00:05.261416: {Acceleration: {Time: 5228, Status: 0, Value: (0.0,-0.001953125,0.0)},Gyroscope: {Time: 5217, Status: 3, Value: (0.01953125,-0.02734375,-0.00390625)},Magnetic: {Time: 5220, Status: 1, Value: (-28.75,28.5,-14.875)},Gravity: {Time: 5201, Status: 3, Value: (0.171875,-0.2421875,9.65625)}, Rotation: {Time: 5230, Status: 0, Value: (-0.015380859375,-0.003173828125,-0.38812255859375, 0.9215087890625)}}
0:00:05.345961: {Acceleration: {Time: 5315, Status: 0, Value: (-0.001953125,0.0,0.0)},Gyroscope: {Time: 5277, Status: 3, Value: (-0.01953125,-0.02734375,-0.00390625)},Magnetic: {Time: 5279, Status: 1, Value: (-29.625,27.875,-14.5)},Gravity: {Time: 5274, Status: 3, Value: (0.171875,-0.2421875,9.65625)}, Rotation: {Time: 5310, Status: 0, Value: (-0.015380859375,-0.003173828125,-0.38812255859375, 0.92144775390625)}}
0:00:05.440756: {Acceleration: {Time: 5407, Status: 0, Value: (0.0,0.00390625,-0.001953125)},Gyroscope: {Time: 5399, Status: 3, Value: (-0.01953125,0.01171875,-0.00390625)},Magnetic: {Time: 5402, Status: 1, Value: (-30.375,27.875,-15.125)},Gravity: {Time: 5396, Status: 3, Value: (0.171875,-0.2421875,9.65625)}, Rotation: {Time: 5409, Status: 0, Value: (-0.015380859375,-0.003173828125,-0.38812255859375, 0.92144775390625)}}
0:00:05.557705: {Acceleration: {Time: 5517, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 5526, Status: 3, Value: (-0.01171875,0.01171875,-0.00390625)},Magnetic: {Time: 5488, Status: 1, Value: (-30.25,29.1875,-16.625)},Gravity: {Time: 5523, Status: 3, Value: (0.1640625,-0.2421875,9.65625)}, Rotation: {Time: 5520, Status: 0, Value: (-0.01531982421875,-0.003173828125,-0.38818359375, 0.92144775390625)}}
0:00:05.657031: {Acceleration: {Time: 5617, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 5626, Status: 3, Value: (-0.01171875,0.01171875,-0.00390625)},Magnetic: {Time: 5586, Status: 1, Value: (-28.625,28.75,-16.4375)},Gravity: {Time: 5623, Status: 3, Value: (0.1640625,-0.2421875,9.65625)}, Rotation: {Time: 5619, Status: 0, Value: (-0.01531982421875,-0.003173828125,-0.38818359375, 0.92144775390625)}}
0:00:05.756727: {Acceleration: {Time: 5723, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 5713, Status: 3, Value: (-0.01171875,0.00390625,-0.03515625)},Magnetic: {Time: 5717, Status: 1, Value: (-30.8125,28.3125,-14.6875)},Gravity: {Time: 5699, Status: 3, Value: (0.1640625,-0.234375,9.6484375)}, Rotation: {Time: 5726, Status: 0, Value: (-0.01531982421875,-0.00311279296875,-0.38818359375, 0.92144775390625)}}
0:00:05.843388: {Acceleration: {Time: 5810, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 5784, Status: 3, Value: (0.02734375,0.00390625,0.00390625)},Magnetic: {Time: 5798, Status: 1, Value: (-29.875,28.1875,-15.5625)},Gravity: {Time: 5782, Status: 3, Value: (0.1640625,-0.234375,9.6484375)}, Rotation: {Time: 5812, Status: 0, Value: (-0.0152587890625,-0.00311279296875,-0.38818359375, 0.92144775390625)}}
