0:00:04.174547 {Acceleration: {Time: 4108, Status: 0, Value: (0.001953125,0.0,0.0)},Gyroscope: {Time: 4076, Status: 3, Value: (-0.015625,0.03125,0.01171875)},Magnetic: {Time: 4079, Status: 1, Value: (-34.9375,24.0625,-13.3125)},Gravity: {Time: 4072, Status: 3, Value: (0.15625,0.0859375,9.7109375)}, Rotation: {Time: 4102, Status: 0, Value: (0.000244140625,-0.0087890625,-0.45880126953125, 0.88848876953125)}}
0:00:04.268983 {Acceleration: {Time: 4197, Status: 0, Value: (0.001953125,-0.001953125,-0.00390625)},Gyroscope: {Time: 4206, Status: 3, Value: (0.0390625,-0.046875,0.05078125)},Magnetic: {Time: 4144, Status: 1, Value: (-34.0625,22.625,-13.8125)},Gravity: {Time: 4203, Status: 3, Value: (0.140625,0.0859375,9.7109375)}, Rotation: {Time: 4200, Status: 0, Value: (0.000244140625,-0.0087890625,-0.4588623046875, 0.888427734375)}}
0:00:04.363131 {Acceleration: {Time: 4298, Status: 0, Value: (0.001953125,-0.001953125,0.0)},Gyroscope: {Time: 4307, Status: 3, Value: (0.078125,-0.0078125,-0.03515625)},Magnetic: {Time: 4270, Status: 1, Value: (-35.0625,24.5,-12.9375)},Gravity: {Time: 4303, Status: 3, Value: (0.140625,0.0859375,9.71875)}, Rotation: {Time: 4300, Status: 0, Value: (0.00030517578125,-0.0087890625,-0.4588623046875, 0.88848876953125)}}
0:00:04.457562 {Acceleration: {Time: 4396, Status: 0, Value: (0.0,0.0,-0.001953125)},Gyroscope: {Time: 4389, Status: 3, Value: (-0.0078125,-0.0078125,0.04296875)},Magnetic: {Time: 4391, Status: 1, Value: (-34.625,22.375,-13.75)},Gravity: {Time: 4386, Status: 3, Value: (0.1484375,0.0859375,9.71875)}, Rotation: {Time: 4398, Status: 0, Value: (0.000244140625,-0.0087890625,-0.4588623046875, 0.88848876953125)}}
0:00:04.551730 {Acceleration: {Time: 4488, Status: 0, Value: (-0.001953125,-0.001953125,0.001953125)},Gyroscope: {Time: 4497, Status: 3, Value: (0.03125,-0.0078125,-0.03515625)},Magnetic: {Time: 4432, Status: 1, Value: (-34.5,22.6875,-12.125)},Gravity: {Time: 4494, Status: 3, Value: (0.1484375,0.0859375,9.71875)}, Rotation: {Time: 4491, Status: 0, Value: (0.000244140625,-0.00885009765625,-0.4588623046875, 0.88848876953125)}}
0:00:04.645946 {Acceleration: {Time: 4593, Status: 0, Value: (-0.00390625,0.001953125,-0.001953125)},Gyroscope: {Time: 4563, Status: 3, Value: (-0.046875,0.03125,0.01171875)},Magnetic: {Time: 4567, Status: 1, Value: (-34.375,23.875,-13.375)},Gravity: {Time: 4561, Status: 3, Value: (0.1484375,0.0859375,9.7109375)}, Rotation: {Time: 4595, Status: 0, Value: (0.00030517578125,-0.00885009765625,-0.4588623046875, 0.88848876953125)}}
0:00:04.740174 {Acceleration: {Time: 4691, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4653, Status: 3, Value: (-0.046875,0.03125,0.00390625)},Magnetic: {Time: 4656, Status: 1, Value: (-34.1875,24.6875,-14.25)},Gravity: {Time: 4639, Status: 3, Value: (0.1484375,0.0859375,9.71875)}, Rotation: {Time: 4687, Status: 0, Value: (0.00030517578125,-0.00885009765625,-0.4588623046875, 0.88848876953125)}}
0:00:04.850104 {Acceleration: {Time: 4779, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4789, Status: 3, Value: (-0.046875,-0.0078125,0.05078125)},Magnetic: {Time: 4724, Status: 1, Value: (-35.375,25.0,-13.75)},Gravity: {Time: 4785, Status: 3, Value: (0.1484375,0.0859375,9.7109375)}, Rotation: {Time: 4781, Status: 0, Value: (0.00030517578125,-0.00885009765625,-0.4588623046875, 0.88848876953125)}}
0:00:04.944478 {Acceleration: {Time: 4885, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4858, Status: 3, Value: (0.0,0.0,0.01171875)},Magnetic: {Time: 4872, Status: 1, Value: (-35.25,24.125,-13.3125)},Gravity: {Time: 4855, Status: 3, Value: (0.140625,0.078125,9.7109375)}, Rotation: {Time: 4889, Status: 0, Value: (0.00030517578125,-0.00885009765625,-0.4588623046875, 0.88848876953125)}}
0:00:05.022922 {Acceleration: {Time: 4961, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4949, Status: 3, Value: (-0.0078125,-0.0078125,0.01171875)},Magnetic: {Time: 4924, Status: 1, Value: (-34.375,23.875,-13.375)},Gravity: {Time: 4945, Status: 3, Value: (0.1484375,0.0859375,9.7109375)}, Rotation: {Time: 4955, Status: 0, Value: (0.00030517578125,-0.00885009765625,-0.4588623046875, 0.88848876953125)}}
