0:00:15.486900: Frequency: 1.0499999523162842, Amplitude: 68.999755859375, Offset: 117.567626953125, Phase Shift: 1.401298464324817e-44, Phase: 127983.265625
0:00:15.568502: Frequency: 1.0499999523162842, Amplitude: 68.99977111816406, Offset: 116.89530944824219, Phase Shift: 1.401298464324817e-44, Phase: 127983.78125
0:00:15.689478: Frequency: 1.0499999523162842, Amplitude: 68.99979400634766, Offset: 115.95291137695312, Phase Shift: 1.401298464324817e-44, Phase: 127984.5390625
0:00:15.771126: Frequency: 1.0499999523162842, Amplitude: 68.99980926513672, Offset: 115.34613037109375, Phase Shift: 0.015358762815594673, Phase: 127985.0546875
0:00:15.897916: Frequency: 1.0499999523162842, Amplitude: 68.99983215332031, Offset: 114.45428466796875, Phase Shift: 0.10811679065227509, Phase: 127985.8515625
0:00:15.978433: Frequency: 1.0499999523162842, Amplitude: 68.99984741210938, Offset: 113.92149353027344, Phase Shift: 0.21234531700611115, Phase: 127986.3515625
0:00:16.099741: Frequency: 1.0499999523162842, Amplitude: 68.99987030029297, Offset: 113.14920043945312, Phase Shift: 0.39958664774894714, Phase: 127987.1171875
0:00:16.182158: Frequency: 1.0499999523162842, Amplitude: 68.99988555908203, Offset: 112.65618896484375, Phase Shift: 0.5296545028686523, Phase: 127987.6328125
0:00:16.268020: Frequency: 1.0499999523162842, Amplitude: 68.9999008178711, Offset: 112.16034698486328, Phase Shift: 0.6885141730308533, Phase: 127988.171875
0:00:16.390390: Frequency: 1.0499999523162842, Amplitude: 68.99991607666016, Offset: 111.48796081542969, Phase Shift: 0.9934917688369751, Phase: 127988.9453125
0:00:16.475054: Frequency: 1.0499999523162842, Amplitude: 68.99991607666016, Offset: 111.05209350585938, Phase Shift: 1.2010899782180786, Phase: 127989.4765625
0:00:16.599136: Frequency: 1.0499999523162842, Amplitude: 68.99991607666016, Offset: 110.43682861328125, Phase Shift: 1.4788031578063965, Phase: 127990.2578125
0:00:16.680363: Frequency: 1.0499999523162842, Amplitude: 68.99991607666016, Offset: 110.05850982666016, Phase Shift: 1.6406267881393433, Phase: 127990.765625
0:00:16.808830: Frequency: 1.0499999523162842, Amplitude: 68.99991607666016, Offset: 109.49104309082031, Phase Shift: 1.870816707611084, Phase: 127991.5703125
0:00:16.890346: Frequency: 1.0499999523162842, Amplitude: 68.99991607666016, Offset: 109.14647674560547, Phase Shift: 2.0031113624572754, Phase: 127992.0859375
0:00:16.977326: Frequency: 1.0499999523162842, Amplitude: 68.99992370605469, Offset: 108.79592895507812, Phase Shift: 2.1320512294769287, Phase: 127992.6328125
0:00:17.101502: Frequency: 1.0499999523162842, Amplitude: 68.99992370605469, Offset: 108.32250213623047, Phase Shift: 2.2968931198120117, Phase: 127993.4140625
0:00:17.186318: Frequency: 1.0499999523162842, Amplitude: 68.99992370605469, Offset: 108.01460266113281, Phase Shift: 2.1998913288116455, Phase: 127993.953125
0:00:17.310681: Frequency: 1.0499999523162842, Amplitude: 68.99992370605469, Offset: 107.58525848388672, Phase Shift: 2.069946527481079, Phase: 127994.7421875
0:00:17.395484: Frequency: 1.0499999523162842, Amplitude: 68.99992370605469, Offset: 107.30835723876953, Phase Shift: 1.9905648231506348, Phase: 127995.2734375
0:00:17.478374: Frequency: 1.0499999523162842, Amplitude: 68.99992370605469, Offset: 107.04927825927734, Phase Shift: 1.9194633960723877, Phase: 127995.796875
0:00:17.602199: Frequency: 1.0499999523162842, Amplitude: 68.99992370605469, Offset: 106.68192291259766, Phase Shift: 1.823870301246643, Phase: 127996.578125
0:00:17.689228: Frequency: 1.0499999523162842, Amplitude: 68.99992370605469, Offset: 106.43744659423828, Phase Shift: 1.7636072635650635, Phase: 127997.125
