0:00:04.213270: {Acceleration: {Time: 4161, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4156, Status: 3, Value: (0.0,-0.0078125,0.00390625)},Magnetic: {Time: 4158, Status: 0, Value: (-3.25,4.0,-33.625)},Gravity: {Time: 4152, Status: 3, Value: (0.34375,-0.453125,9.7265625)}, Rotation: {Time: 4165, Status: 0, Value: (-0.02313232421875,-0.01763916015625,-0.0008544921875, 0.99957275390625)}}
0:00:04.308790: {Acceleration: {Time: 4257, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4266, Status: 3, Value: (0.0,0.03125,-0.00390625)},Magnetic: {Time: 4224, Status: 0, Value: (-3.625,2.1875,-33.1875)},Gravity: {Time: 4263, Status: 3, Value: (0.34375,-0.453125,9.734375)}, Rotation: {Time: 4259, Status: 0, Value: (-0.02313232421875,-0.01763916015625,-0.0008544921875, 0.99957275390625)}}
0:00:04.403474: {Acceleration: {Time: 4355, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4347, Status: 3, Value: (0.0,-0.0078125,-0.03515625)},Magnetic: {Time: 4350, Status: 0, Value: (-2.5625,3.25,-32.8125)},Gravity: {Time: 4344, Status: 3, Value: (0.34375,-0.453125,9.7265625)}, Rotation: {Time: 4357, Status: 0, Value: (-0.02313232421875,-0.01763916015625,-0.0008544921875, 0.99957275390625)}}
0:00:04.466969: {Acceleration: {Time: 4422, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4415, Status: 3, Value: (0.0,0.03125,0.04296875)},Magnetic: {Time: 4418, Status: 0, Value: (-4.0,2.1875,-33.625)},Gravity: {Time: 4412, Status: 3, Value: (0.34375,-0.453125,9.7265625)}, Rotation: {Time: 4425, Status: 0, Value: (-0.02313232421875,-0.01763916015625,-0.0008544921875, 0.99957275390625)}}
0:00:04.576490: {Acceleration: {Time: 4521, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4481, Status: 3, Value: (0.0,0.03125,0.04296875)},Magnetic: {Time: 4484, Status: 0, Value: (-4.0,1.0625,-34.0)},Gravity: {Time: 4467, Status: 3, Value: (0.34375,-0.453125,9.7265625)}, Rotation: {Time: 4523, Status: 0, Value: (-0.02313232421875,-0.01763916015625,-0.0008544921875, 0.99957275390625)}}
0:00:04.669555: {Acceleration: {Time: 4620, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4609, Status: 3, Value: (0.0,0.03125,0.00390625)},Magnetic: {Time: 4613, Status: 0, Value: (-3.25,3.25,-34.0)},Gravity: {Time: 4595, Status: 3, Value: (0.34375,-0.453125,9.7265625)}, Rotation: {Time: 4623, Status: 0, Value: (-0.02313232421875,-0.01763916015625,-0.0008544921875, 0.99957275390625)}}
0:00:04.763726: {Acceleration: {Time: 4712, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4682, Status: 3, Value: (0.0,-0.0078125,-0.03515625)},Magnetic: {Time: 4684, Status: 0, Value: (-2.5625,3.25,-34.375)},Gravity: {Time: 4718, Status: 3, Value: (0.34375,-0.453125,9.7265625)}, Rotation: {Time: 4715, Status: 0, Value: (-0.02313232421875,-0.01763916015625,-0.0008544921875, 0.99957275390625)}}
0:00:04.862966: {Acceleration: {Time: 4814, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4777, Status: 3, Value: (0.0,-0.0078125,0.00390625)},Magnetic: {Time: 4781, Status: 0, Value: (-4.0,3.25,-33.625)},Gravity: {Time: 4774, Status: 3, Value: (0.34375,-0.453125,9.7265625)}, Rotation: {Time: 4811, Status: 0, Value: (-0.02313232421875,-0.01763916015625,-0.0008544921875, 0.99957275390625)}}
0:00:04.956737: {Acceleration: {Time: 4909, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4873, Status: 3, Value: (0.0,-0.0078125,0.00390625)},Magnetic: {Time: 4875, Status: 0, Value: (-3.25,4.375,-33.625)},Gravity: {Time: 4869, Status: 3, Value: (0.34375,-0.453125,9.7265625)}, Rotation: {Time: 4906, Status: 0, Value: (-0.02313232421875,-0.01763916015625,-0.0008544921875, 0.99957275390625)}}
0:00:05.051367: {Acceleration: {Time: 5007, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4967, Status: 3, Value: (0.0390625,-0.0078125,0.00390625)},Magnetic: {Time: 4942, Status: 0, Value: (-3.25,2.5625,-34.0)},Gravity: {Time: 4963, Status: 3, Value: (0.34375,-0.453125,9.7265625)}, Rotation: {Time: 5009, Status: 0, Value: (-0.02313232421875,-0.01763916015625,-0.0008544921875, 0.99957275390625)}}
0:00:05.145523: {Acceleration: {Time: 5098, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 5107, Status: 3, Value: (-0.0078125,-0.0078125,0.00390625)},Magnetic: {Time: 5044, Status: 0, Value: (-3.25,2.875,-33.625)},Gravity: {Time: 5104, Status: 3, Value: (0.3515625,-0.453125,9.7265625)}, Rotation: {Time: 5101, Status: 0, Value: (-0.023193359375,-0.01763916015625,-0.0008544921875, 0.99957275390625)}}
0:00:05.255368: {Acceleration: {Time: 5203, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 5177, Status: 3, Value: (0.0,-0.0078125,-0.03515625)},Magnetic: {Time: 5191, Status: 0, Value: (-2.875,1.8125,-35.1875)},Gravity: {Time: 5173, Status: 3, Value: (0.34375,-0.453125,9.7265625)}, Rotation: {Time: 5206, Status: 0, Value: (-0.023193359375,-0.01763916015625,-0.0008544921875, 0.99957275390625)}}
0:00:05.318313: {Acceleration: {Time: 5278, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 5268, Status: 3, Value: (0.0,-0.0078125,-0.03515625)},Magnetic: {Time: 5271, Status: 0, Value: (-3.625,1.8125,-34.0)},Gravity: {Time: 5264, Status: 3, Value: (0.34375,-0.453125,9.7265625)}, Rotation: {Time: 5273, Status: 0, Value: (-0.023193359375,-0.01763916015625,-0.0008544921875, 0.99957275390625)}}
0:00:05.428172: {Acceleration: {Time: 5368, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 5377, Status: 3, Value: (0.0390625,-0.0078125,0.00390625)},Magnetic: {Time: 5311, Status: 0, Value: (-2.875,2.875,-32.8125)},Gravity: {Time: 5374, Status: 3, Value: (0.34375,-0.453125,9.7265625)}, Rotation: {Time: 5370, Status: 0, Value: (-0.023193359375,-0.01763916015625,-0.0008544921875, 0.99957275390625)}}
0:00:05.522400: {Acceleration: {Time: 5469, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 5478, Status: 3, Value: (0.0,0.03125,0.00390625)},Magnetic: {Time: 5441, Status: 0, Value: (-2.5625,2.875,-34.8125)},Gravity: {Time: 5474, Status: 3, Value: (0.34375,-0.453125,9.7265625)}, Rotation: {Time: 5471, Status: 0, Value: (-0.023193359375,-0.01763916015625,-0.0008544921875, 0.99957275390625)}}
0:00:05.616587: {Acceleration: {Time: 5568, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 5560, Status: 3, Value: (-0.0390625,-0.0078125,-0.02734375)},Magnetic: {Time: 5563, Status: 0, Value: (-2.875,3.25,-33.1875)},Gravity: {Time: 5557, Status: 3, Value: (0.34375,-0.453125,9.71875)}, Rotation: {Time: 5570, Status: 0, Value: (-0.023193359375,-0.01763916015625,-0.0008544921875, 0.99957275390625)}}
