0:00:04.423935: {Acceleration: {Time: 4397, Status: 0, Value: (-0.001953125,0.00390625,-0.001953125)},Gyroscope: {Time: 4371, Status: 3, Value: (0.01953125,-0.01953125,0.01171875)},Magnetic: {Time: 4385, Status: 1, Value: (-28.625,28.75,-16.25)},Gravity: {Time: 4368, Status: 3, Value: (0.171875,-0.25,9.640625)}, Rotation: {Time: 4400, Status: 0, Value: (-0.015380859375,-0.00335693359375,-0.37725830078125, 0.92596435546875)}}
0:00:04.510236: {Acceleration: {Time: 4484, Status: 0, Value: (0.001953125,-0.001953125,0.0)},Gyroscope: {Time: 4455, Status: 3, Value: (0.01953125,-0.01953125,0.01171875)},Magnetic: {Time: 4458, Status: 1, Value: (-29.5,28.1875,-15.4375)},Gravity: {Time: 4452, Status: 3, Value: (0.171875,-0.25,9.640625)}, Rotation: {Time: 4486, Status: 0, Value: (-0.015380859375,-0.00335693359375,-0.377197265625, 0.92596435546875)}}
0:00:04.620832: {Acceleration: {Time: 4595, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4569, Status: 3, Value: (0.01953125,-0.01953125,0.01171875)},Magnetic: {Time: 4583, Status: 1, Value: (-28.5625,27.75,-15.9375)},Gravity: {Time: 4565, Status: 3, Value: (0.171875,-0.25,9.640625)}, Rotation: {Time: 4597, Status: 0, Value: (-0.015380859375,-0.00335693359375,-0.377197265625, 0.92596435546875)}}
0:00:04.733414: {Acceleration: {Time: 4706, Status: 0, Value: (-0.00390625,-0.001953125,0.001953125)},Gyroscope: {Time: 4680, Status: 3, Value: (-0.06640625,0.01953125,-0.0625)},Magnetic: {Time: 4694, Status: 1, Value: (-27.4375,28.0,-15.625)},Gravity: {Time: 4678, Status: 3, Value: (0.1796875,-0.25,9.640625)}, Rotation: {Time: 4710, Status: 0, Value: (-0.01556396484375,-0.00372314453125,-0.37725830078125, 0.92596435546875)}}
0:00:04.818690: {Acceleration: {Time: 4793, Status: 0, Value: (0.00390625,0.001953125,0.0)},Gyroscope: {Time: 4757, Status: 3, Value: (0.1328125,-0.0625,0.01953125)},Magnetic: {Time: 4760, Status: 1, Value: (-27.9375,28.4375,-15.1875)},Gravity: {Time: 4753, Status: 3, Value: (0.171875,-0.2421875,9.6328125)}, Rotation: {Time: 4795, Status: 0, Value: (-0.015380859375,-0.0032958984375,-0.37725830078125, 0.92596435546875)}}
0:00:04.936240: {Acceleration: {Time: 4910, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4896, Status: 3, Value: (-0.09375,0.10546875,-0.0625)},Magnetic: {Time: 4900, Status: 1, Value: (-29.5625,29.1875,-15.75)},Gravity: {Time: 4882, Status: 3, Value: (0.171875,-0.2578125,9.640625)}, Rotation: {Time: 4913, Status: 0, Value: (-0.0157470703125,-0.00323486328125,-0.37725830078125, 0.92596435546875)}}
0:00:05.024544: {Acceleration: {Time: 4998, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4932, Status: 3, Value: (-0.05859375,0.02734375,-0.0625)},Magnetic: {Time: 4936, Status: 1, Value: (-27.625,28.125,-14.5)},Gravity: {Time: 5001, Status: 3, Value: (0.171875,-0.2578125,9.640625)}, Rotation: {Time: 4994, Status: 0, Value: (-0.0157470703125,-0.00323486328125,-0.37725830078125, 0.92596435546875)}}
0:00:05.122647: {Acceleration: {Time: 5090, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 5099, Status: 3, Value: (-0.02734375,-0.0546875,-0.0625)},Magnetic: {Time: 5033, Status: 1, Value: (-28.25,26.4375,-15.25)},Gravity: {Time: 5096, Status: 3, Value: (0.1796875,-0.25,9.640625)}, Rotation: {Time: 5093, Status: 0, Value: (-0.0157470703125,-0.0030517578125,-0.38555908203125, 0.92254638671875)}}
0:00:05.240027: {Acceleration: {Time: 5214, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 5194, Status: 3, Value: (-0.02734375,-0.01171875,-0.02734375)},Magnetic: {Time: 5208, Status: 1, Value: (-27.9375,28.4375,-15.1875)},Gravity: {Time: 5192, Status: 3, Value: (0.1796875,-0.2578125,9.640625)}, Rotation: {Time: 5187, Status: 0, Value: (-0.01593017578125,-0.00341796875,-0.38555908203125, 0.92254638671875)}}
0:00:05.324204: {Acceleration: {Time: 5299, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 5289, Status: 3, Value: (0.01171875,-0.01953125,0.00390625)},Magnetic: {Time: 5292, Status: 1, Value: (-28.625,28.4375,-15.875)},Gravity: {Time: 5275, Status: 3, Value: (0.1796875,-0.25,9.6484375)}, Rotation: {Time: 5301, Status: 0, Value: (-0.01556396484375,-0.00360107421875,-0.38555908203125, 0.92254638671875)}}
