0:00:04.680837 {Acceleration: {Time: 4651, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4644, Status: 3, Value: (-0.00390625,-0.01171875,-0.02734375)},Magnetic: {Time: 4647, Status: 1, Value: (-31.3125,30.625,-15.4375)},Gravity: {Time: 4641, Status: 3, Value: (0.15625,-0.2578125,9.640625)}, Rotation: {Time: 4654, Status: 0, Value: (-0.0155029296875,-0.00262451171875,-0.38897705078125, 0.921142578125)}}
0:00:04.768017 {Acceleration: {Time: 4730, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4737, Status: 3, Value: (-0.00390625,-0.01171875,0.00390625)},Magnetic: {Time: 4739, Status: 1, Value: (-29.875,29.125,-16.375)},Gravity: {Time: 4733, Status: 3, Value: (0.15625,-0.2578125,9.6484375)}, Rotation: {Time: 4741, Status: 0, Value: (-0.0155029296875,-0.00262451171875,-0.38897705078125, 0.921142578125)}}
0:00:04.880650 {Acceleration: {Time: 4851, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4844, Status: 3, Value: (0.02734375,-0.01953125,0.00390625)},Magnetic: {Time: 4847, Status: 1, Value: (-29.5625,29.75,-16.0)},Gravity: {Time: 4841, Status: 3, Value: (0.1640625,-0.25,9.6484375)}, Rotation: {Time: 4854, Status: 0, Value: (-0.0155029296875,-0.00262451171875,-0.38897705078125, 0.921142578125)}}
0:00:04.991707 {Acceleration: {Time: 4965, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 4926, Status: 3, Value: (-0.01171875,-0.01953125,-0.03515625)},Magnetic: {Time: 4929, Status: 1, Value: (-29.6875,29.0625,-17.5625)},Gravity: {Time: 4922, Status: 3, Value: (0.1640625,-0.25,9.6484375)}, Rotation: {Time: 4960, Status: 0, Value: (-0.0155029296875,-0.00262451171875,-0.38897705078125, 0.921142578125)}}
0:00:05.083325 {Acceleration: {Time: 5055, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 5020, Status: 3, Value: (-0.01171875,-0.01171875,-0.03515625)},Magnetic: {Time: 5023, Status: 1, Value: (-31.0,29.8125,-17.3125)},Gravity: {Time: 5006, Status: 3, Value: (0.1640625,-0.2578125,9.6484375)}, Rotation: {Time: 5048, Status: 0, Value: (-0.0155029296875,-0.00262451171875,-0.38897705078125, 0.921142578125)}}
0:00:05.168696 {Acceleration: {Time: 5134, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 5142, Status: 3, Value: (-0.05078125,-0.01171875,0.00390625)},Magnetic: {Time: 5103, Status: 1, Value: (-29.5,29.4375,-16.0625)},Gravity: {Time: 5140, Status: 3, Value: (0.1640625,-0.2578125,9.6484375)}, Rotation: {Time: 5137, Status: 0, Value: (-0.0155029296875,-0.00262451171875,-0.38897705078125, 0.921142578125)}}
0:00:05.280725 {Acceleration: {Time: 5251, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 5225, Status: 3, Value: (-0.01171875,-0.01171875,-0.03515625)},Magnetic: {Time: 5239, Status: 1, Value: (-31.0625,28.875,-16.25)},Gravity: {Time: 5222, Status: 3, Value: (0.1640625,-0.2578125,9.6484375)}, Rotation: {Time: 5254, Status: 0, Value: (-0.0155029296875,-0.00262451171875,-0.38897705078125, 0.921142578125)}}
0:00:05.394168 {Acceleration: {Time: 5366, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 5359, Status: 3, Value: (-0.00390625,-0.01171875,0.01171875)},Magnetic: {Time: 5362, Status: 1, Value: (-30.375,28.875,-15.625)},Gravity: {Time: 5356, Status: 3, Value: (0.15625,-0.2578125,9.640625)}, Rotation: {Time: 5368, Status: 0, Value: (-0.0155029296875,-0.00262451171875,-0.38897705078125, 0.921142578125)}}
0:00:05.482488 {Acceleration: {Time: 5453, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 5412, Status: 3, Value: (-0.00390625,0.02734375,-0.03515625)},Magnetic: {Time: 5415, Status: 1, Value: (-29.875,29.4375,-16.4375)},Gravity: {Time: 5456, Status: 3, Value: (0.15625,-0.2578125,9.6484375)}, Rotation: {Time: 5448, Status: 0, Value: (-0.0155029296875,-0.00262451171875,-0.38897705078125, 0.921142578125)}}
0:00:05.591622 {Acceleration: {Time: 5562, Status: 0, Value: (0.0,0.0,0.0)},Gyroscope: {Time: 5556, Status: 3, Value: (-0.00390625,-0.01171875,0.00390625)},Magnetic: {Time: 5559, Status: 1, Value: (-30.375,28.125,-17.5)},Gravity: {Time: 5552, Status: 3, Value: (0.15625,-0.2578125,9.6484375)}, Rotation: {Time: 5566, Status: 0, Value: (-0.0155029296875,-0.00262451171875,-0.38897705078125, 0.921142578125)}}
